file,storage consumption
1,4026
2,39075
3,57585
4,59118
5,604587
6,666668
7,2179667
8,2354222
9,3526178
10,3533979
11,3555711
12,3604695
13,3973329
14,3977976
15,3984424
16,3988734
17,5533305
18,5577106
19,5721083
20,6133284
21,6489536
22,6526698
23,6532400
24,6535242
25,6539734
26,6589722
27,8121378
28,8241506
29,8463178
30,8466834
31,8473007
32,8474159
33,8477306
34,8481635
35,8487650
36,8488753
37,10038030
38,10422387
39,10426170
40,10431493
41,10436049
42,10460737
43,10798097
44,11039270
45,11100765
46,11104252
47,11110782
48,11114765
49,11118284
50,11128580
51,11168389
52,11178286
53,11516648
54,11516758
55,11849569
56,11861828
57,13028754
58,13447828
59,13489622
60,13494234
61,13567361
62,13569071
63,13617680
64,13619348
65,13975700
66,13980261
67,15520325
68,15528939
69,16658016
70,16701020
71,16702778
72,16716080
73,16722403
74,18257987
75,18606355
76,18647021
77,18652750
78,18704966
79,18706755
80,18716345
81,18722996
82,20290295
83,20330319
84,20701724
85,21117439
86,22445938
87,22449510
88,22916126
89,23273904
90,23280519
91,23286256
92,23724862
93,23730882
94,23735155
95,23840817
96,24335451
97,24349861
98,26092358
99,26268692
100,26320584
101,26325438
102,26331631
103,26453764
104,26459715
105,26520441
106,26520551
107,26593791
108,26926323
109,27282367
110,27288059
111,27292301
112,27295507
113,27335680
114,27713458
115,27717865
116,27721744
117,28088062
118,28105295
119,29197573
120,29208889
121,29244284
122,30146504
123,30152441
124,30156742
125,30170927
126,30382627
127,30388364
128,30392093
129,30393014
130,31549913
131,31553119
132,31590941
133,31596082
134,31636125
135,32709872
136,33061969
137,34566615
138,36394563
139,36795573
140,36809454
141,37168801
142,37497766
143,37499188
144,37639770
145,37645303
146,38165622
147,38170234
148,38212053
149,38545695
150,38880122
151,38909486
152,38914098
153,38919807
154,38933660
155,40333866
156,40728397
157,40836185
158,42371601
159,42375736
160,42778422
161,42792275
162,43335839
163,43339774
164,43735241
165,43874133
166,43878351
167,44296149
168,44310250
169,44316003
170,44321966
171,44333277
172,44683574
173,45066736
174,45111341
175,46632165
176,48319452
177,48416703
178,48653143
179,48688692
180,50158968
181,50577894
182,50908928
183,52467072
184,52846886
185,52851060
186,52893884
187,52967097
188,53337815
189,53348533
190,53352706
191,53396001
192,53751368
193,53755711
194,54306884
195,54445747
196,54481882
197,54486151
198,56239773
199,56648864
200,56654926
201,56934634
202,56941364
203,58471103
204,58505125
205,60331678
206,60391067
207,60395248
208,60476607
209,60482000
210,60492913
211,60849928
212,60863801
213,60893118
214,60898820
215,61277241
216,61292417
217,62782818
218,62823162
219,62829411
220,63224443
221,64720128
222,65099212
223,66638162
224,66679955
225,67015084
226,67017012
227,67022517
228,67022627
229,67065452
230,67072036
231,67418344
232,67429655
233,67515321
234,67950552
235,69305833
236,69338188
237,69382109
238,69386465
239,69481808
240,69913010
241,69918618
242,70291608
243,70295701
244,70298561
245,70341133
246,70731641
247,70770328
248,70774974
249,71025608
250,72044294
251,72045323
252,72051380
253,72054952
254,72055062
255,72059218
256,72393819
257,72412499
258,72427831
259,72468152
260,72866857
261,73243170
262,73244713
263,73266672
264,73271318
265,73275986
266,73280916
267,73682313
268,74080514
269,75867356
270,76046978
271,76155747
272,76162346
273,76167873
274,76172241
275,76537308
276,76597811
277,78020118
278,78024339
279,78030398
280,78031941
281,78032855
282,78036564
283,78038916
284,78042229
285,78123293
286,79303158
287,79348155
288,79353040
289,79355524
290,79496344
291,79558136
292,79938955
293,81476367
294,81487325
295,81875555
296,83098463
297,83694684
298,83761294
299,84296030
300,84686002
301,84689766
302,85829302
303,85869089
304,86010684
305,86039950
306,86040866
307,86043055
308,86088737
309,86132839
310,86136916
311,86523191
312,86916697
313,86925720
314,86933107
315,86974142
316,87300855
317,87302159
318,87367839
319,87664048
320,87697789
321,88750217
322,88795105
323,88932333
324,90205431
325,90603450
326,90608663
327,90611633
328,90616979
