file,storage consumption
1,17111074
2,36577444
3,56043814
4,75510184
5,94976554
6,114444504
7,131551482
8,148658460
9,165766826
10,185233196
11,204699566
12,224165936
13,243632306
14,263098676
15,282566626
16,302032996
17,321499366
18,338606344
19,358072714
20,377539084
21,397005454
22,416473404
23,435939774
24,455406144
25,474874094
26,494340464
27,513806834
28,533274784
29,552741154
30,572207524
31,589314502
32,608780872
33,625889238
34,642997604
35,660105970
36,679572340
37,699038710
38,718505080
39,737971450
40,757437820
41,776904190
42,794011168
43,813477538
44,832943908
45,852411858
46,871878228
47,891344598
48,910810968
49,930277338
50,949743708
51,969210078
52,988676448
53,1008144398
54,1027610768
55,1044717746
56,1064184116
57,1083650486
58,1100758852
59,1120225222
60,1139691592
61,1159157962
62,1178624332
63,1195731310
64,1212838288
65,1229945266
66,1249411636
67,1268878006
68,1288345956
69,1307812326
