file,origin size,final size
1,438525916,0
2,817569354,0
3,1515548394,0
4,1923519998,0
5,2320956047,0
6,2759573399,0
7,4337556305,0
8,4782453351,0
9,5206073693,0
10,5531723676,362151948
11,5950158070,0
12,6372010904,0
13,6785152308,0
14,7208356645,0
15,7634660717,0
16,7685531727,0
17,8105813519,0
18,8429965131,0
19,8778345463,0
20,9089478579,546445824
21,9499375455,0
22,14919853296,0
23,15378187133,0
24,15827773690,0
25,15916141779,0
26,16345484420,0
27,16787434967,0
28,17155343478,0
29,17603047918,0
30,18040888294,1014465789
31,18441453208,0
32,18818871371,1054088799
