file,origin size,final size
1,45615220,0
2,97521992,0
3,149431096,0
4,195046316,0
5,246953088,0
6,298859860,0
7,350766632,0
8,402673404,0
9,454580176,0
10,506486948,307519015
11,552102168,0
12,597717388,0
13,649624160,0
14,695239380,0
15,747146152,0
16,799052924,0
17,850959696,0
18,902866468,0
19,954773240,0
20,1006682344,621839091
21,1058589116,0
22,1104204336,0
23,1156111108,0
24,1201726328,0
25,1253633100,0
26,1305539872,0
27,1357446644,0
28,1403061864,0
29,1454968636,0
30,1506875408,942196234
31,1558782180,0
32,1610691284,0
33,1656308548,0
34,1701925812,0
35,1753832584,0
36,1805741688,0
37,1857648460,0
38,1909555232,0
39,1961462004,0
40,2007079268,1264013635
41,2058986040,0
42,2110892812,0
43,2162799584,0
44,2214706356,0
45,2266613128,0
46,2318519900,0
47,2370429004,0
48,2422335776,0
49,2474242548,0
50,2519857768,1573913025
51,2571764540,0
52,2623671312,0
53,2675578084,0
54,2727487188,0
55,2779393960,0
56,2831300732,0
57,2883207504,0
58,2928822724,0
59,2980729496,0
60,3032636268,1889204913
61,3084545372,0
62,3136452144,0
63,3182069408,0
64,3233976180,0
65,3285882952,0
66,3337789724,0
67,3389696496,0
68,3435313760,0
69,3487222864,2167350899
