file,origin size,final size
1,19466370,0
2,38932740,0
3,58399110,0
4,77865480,0
5,97331850,0
6,116799800,0
7,136266170,0
8,153374536,0
9,172840906,0
10,192307276,100483489
11,211775226,0
12,231241596,0
13,248348574,0
14,267816524,0
15,287282894,0
16,306749264,0
17,326217214,0
18,345683584,0
19,365149954,0
20,384616324,204829381
21,404082694,0
22,421189672,0
23,440656042,0
24,457764408,0
25,477230778,0
26,496697148,0
27,516163518,0
28,535629888,0
29,555096258,0
30,574562628,299558728
31,591669606,0
32,611135976,0
33,628242954,0
34,647709324,0
35,667175694,0
36,686642064,0
37,706110014,0
38,725576384,0
39,745042754,0
40,764510704,393838266
41,783977074,0
42,803443444,0
43,822909814,0
44,842376184,0
45,861842554,0
46,881308924,0
47,900775294,0
48,920241664,0
49,937348642,0
50,956815012,485826150
51,976281382,0
52,995747752,0
53,1015215702,0
54,1034682072,0
55,1051789050,0
56,1071255420,0
57,1090721790,0
58,1107828768,0
59,1127295138,0
60,1144403504,583448711
61,1161510482,0
62,1180976852,0
63,1198083830,0
64,1217550200,0
65,1234658566,0
66,1254124936,0
67,1271233302,0
68,1290701252,0
69,1307808230,673947837
