file,storage consumption
1,2057110
2,2070039
3,2167820
4,3727040
5,3731840
6,4142483
7,4162398
8,4198781
9,4202966
10,5734386
11,5769959
12,5831085
13,6278653
14,6545178
15,6546521
16,6549709
17,6697179
18,6702930
19,7084655
20,7089212
21,7120463
22,7133807
23,7177589
24,8160211
25,8194069
26,8290648
27,8295433
28,8732684
29,8813102
30,8846155
31,8856122
32,8967043
33,8972590
34,9009852
35,9343547
36,9675326
37,9679860
38,9686363
39,9724445
40,10059062
41,10064445
42,10068063
43,10074704
44,10299182
45,11561289
46,11569764
47,13099011
48,13204729
49,13211186
50,14739296
51,14768802
52,14768934
53,15157872
54,15666555
55,15905068
56,15936633
57,15955616
58,15989656
59,16373665
60,16378374
61,16381785
62,16387926
63,16720249
64,16721253
65,17060354
66,17064725
67,17069245
68,17074610
69,17460547
70,17462195
71,18870850
72,18875504
73,18879255
74,20377612
75,20378623
76,20402060
77,20431073
78,20436807
79,20486842
80,20800693
81,20806928
82,21250720
83,22811766
84,22868185
85,22874187
86,22885236
87,23405266
88,23411407
89,23505326
90,23900895
91,23904756
92,24367376
93,24382750
94,24814093
95,24819827
96,26287603
97,26293151
98,26306495
99,27536185
100,27540606
101,27607924
102,27614950
103,27620888
104,27624593
105,27628166
106,28921229
107,28925883
108,28955413
109,28961415
110,28979125
111,30116254
112,31619932
113,31627361
114,31993840
115,31995470
116,33495351
117,33920275
118,33922310
119,33926791
120,34103096
121,34437339
122,34439714
123,35531967
124,35538636
125,35545001
126,35551366
127,35948061
128,35980865
129,35990740
130,36109318
131,36112330
132,36167869
133,36173722
134,36178121
135,36183509
136,36188405
137,36262314
138,37685997
139,37692281
140,38073935
141,38147543
142,38514526
143,38535539
144,40066235
145,40459397
146,40464125
147,40468625
148,40472934
149,41101214
150,41646570
151,42021398
152,42354422
153,42357770
154,42364005
155,42368154
156,42374007
157,42374139
158,42378828
159,42517333
160,42526266
161,42914486
162,43032631
163,43045132
164,43049484
165,43054083
166,44241781
167,45376012
168,45389390
169,46932735
170,47019727
171,47022337
172,47415039
173,47424671
174,47430450
175,47830113
176,47867600
177,47890724
178,47897089
179,49289609
180,50847312
181,50877108
182,50891582
183,51291968
184,51334685
185,51340565
186,51352064
187,51352196
188,51357631
189,51454053
190,51462701
191,51466968
192,51475616
193,52595910
194,52624711
195,52743985
196,52882195
197,52974454
198,52978974
199,53373605
200,53407742
201,53412848
202,53765772
203,55223806
204,55285884
205,55519035
206,55525143
207,55530747
208,56920501
209,58447607
210,58454076
211,58848685
212,58852467
213,59076444
214,59157537
215,60622693
216,60655476
217,60670060
218,60672327
219,60680953
220,61018099
221,61024685
222,62553559
223,62915718
224,63270882
225,63272199
226,63427904
227,63430445
228,63817740
229,63822394
230,63823574
231,63826100
232,64201614
233,64752858
234,65131376
235,65137378
236,65141645
237,65145786
238,65520155
239,65555808
240,65560061
241,65566552
242,65595487
243,65627462
244,65630810
245,65635137
246,65637511
247,65642899
248,65649402
249,65653476
250,65989963
251,66161247
252,66495779
253,66520151
254,66521327
255,66924985
256,68296835
257,68300364
258,68324232
259,68328409
260,68334512
261,69853500
262,71377714
263,71410581
264,71744489
265,72077447
266,72489467
267,72740178
268,74263084
269,75880407
270,76280282
271,76285012
272,76691913
273,78216746
274,78600101
275,78605432
276,78971019
277,78974968
278,78984480
279,79037192
280,80576414
281,80580477
282,80917130
283,80921530
284,81189156
285,81190546
286,81571754
287,81747936
288,82120094
289,82159180
290,82250552
291,83777055
292,83777747
293,83782811
294,85618595
295,85694231
296,85718022
297,85772711
298,85773667
299,85806451
300,86185368
301,86238035
302,86242733
303,86277845
304,86321784
305,86325969
306,86714507
307,86716879
308,86721452
309,88268687
310,88300706
311,88312205
312,88366901
313,88700950
314,90508670
315,90852786
316,92285110
317,92289683
318,92296866
319,92301266
320,92304470
321,93438043
322,93708253
323,93712122
324,93920349
325,93948056
326,93981851
327,95058937
328,95079925
329,95084240
330,96594720
331,97588267
332,97806787
333,97811759
334,97848776
335,99379165
336,99757750
337,99791101
338,99794812
339,99843504
340,99848892
341,99855365
342,100173302
343,100176916
344,101592630
345,101599228
346,101652460
347,101675248
348,102111140
349,102122639
350,102125013
351,102131743
352,102467748
353,102832224
354,102915915
355,103249413
356,103629751
357,104806433
358,105092736
359,105192207
360,105198422
361,105203132
362,106741562
363,106757565
364,106845668
365,107178808
366,107192152
367,107668452
368,107672426
369,108008238
370,108019737
371,108410374
372,109821032
373,109843999
374,110180079
375,110733599
376,110735961
377,111070245
378,112505130
379,112969553
380,112979594
381,113419460
382,114609748
383,114974950
384,115310176
385,115313183
386,115571528
387,117109885
388,117115940
389,117120338
390,117257631
391,118816052
392,118822427
393,118828245
394,119231184
395,119233480
396,119239224
397,120452996
398,120485059
399,120487629
400,120490610
401,120535479
402,120951371
403,122174501
404,122181127
405,122570633
406,122933778
407,123298128
408,124561520
409,124564187
410,124597986
411,124603351
412,126088991
413,126095282
414,126132054
415,126135601
416,126469752
417,126480241
418,128018138
419,128064968
420,128065802
421,128388613
422,128492710
423,128523750
424,128601363
425,128969843
426,129307721
427,129311898
428,130502661
429,130504100
430,130508809
431,132247054
432,132252862
433,132299513
434,132414277
435,132420095
436,132763453
437,133134168
438,134779983
439,136292409
440,136299743
441,136303064
442,136309270
443,136571571
444,136586305
445,136660710
446,136676613
447,137015292
448,137022101
449,137527954
450,137912662
451,137945201
452,137950734
453,137957099
454,137967437
455,137978486
456,137983626
457,138361374
458,138398150
459,138402116
460,138487834
461,138982375
462,138988115
463,138996573
464,139168525
465,139172081
466,139597373
467,139611288
468,139621292
469,139634666
470,139705808
471,139706775
472,141394628
473,141431750
474,141437107
475,141794018
476,141798278
477,142165735
478,142165867
479,143848786
480,143853400
481,145126723
482,145130592
483,145135273
484,145507269
485,146633442
486,146637339
487,147015805
488,147351936
489,147370691
490,147402748
491,148950857
492,149005768
493,149011824
494,149345653
495,149358582
496,149363044
497,149396246
498,150560854
499,150610733
500,152087538
501,152102756
502,152107065
503,152119669
504,152139250
505,152143980
506,152161690
507,152519181
508,152932144
509,152934685
510,152937352
511,152965237
512,153103996
513,153108968
514,153114572
515,154649169
516,155027038
517,155040708
518,155052131
519,156576262
520,156586647
521,156592282
522,156596970
523,157678941
524,157994699
525,157999718
526,159534621
527,160994906
528,161030361
529,161149709
530,161154418
531,161159072
