file,origin size,mfs size
10,5368709120,8600195592
20,10737418240,8599594891
30,16106127360,15627089068
40,20807942144,15170018412
50,26065502208,18289578837
60,31083986944,25338074606
70,36098277376,28142127186
80,40827355136,26823811540
90,45412777984,29293966351
100,50434408448,31912739694
110,55803117568,34601867958
120,60779659264,41802996163
130,65891467264,42051985701
140,70928826368,45192699446
150,76067897344,47481497307
160,81254154240,49978043550
170,86132129792,52168598690
180,90999619584,55128362951
190,96213139456,58355511354
200,101581848576,61232258154
210,106944266240,63635151786
220,112186097664,65948298338
230,117554806784,68916271521
240,122923515904,70868484794
250,127809880064,73373656650
260,132893376512,75477264400
270,137393864704,77764571910
280,142762573824,79560529009
290,148131282944,82372677019
300,153074270208,84962293623
310,158442979328,88248185600
320,163470901248,90526122293
330,168313225216,92096470781
340,173589659648,94744885846
350,178958368768,96817911244
360,183823761408,99710166296
370,188212051968,101627812966
380,192972587008,103674534900
390,198341296128,106478544133
400,203710005248,108709719790
410,209078714368,110524843942
420,214164307968,112939522316
430,219366293504,114629049807
440,223966396416,116068627785
450,229335105536,118612819164
460,234703814656,120879273758
470,240072523776,123723164542
480,245441232896,125646041867
490,250115784704,127546543746
500,255484493824,129798527299
510,259706060800,131133953168
520,264718254080,133985374526
530,269409583104,136808308496
540,273948868608,138411056616
550,279317577728,139790314178
560,283718451200,141580062777
570,288367837184,142642160103
580,293225889792,144055936013
590,298293657600,146124616642
600,303486205952,148379745167
610,308854915072,150029692847
620,314223624192,151396571715
630,319189680128,152330518549
640,324021518336,154910137199
650,328866988032,156079742706
660,334118256640,158353597738
670,339486965760,160561897848
680,344855674880,162342344069
690,349764059136,163302197204
700,355132768256,165213798629
710,360461631488,166888130480
720,365229506560,168299018647
730,370598215680,169342349072
740,375966924800,171057797998
750,381009526784,172045094597
760,386171666432,173326864840
770,390716194816,175195420998
780,395627724800,177512435254
790,400858021888,179046088969
800,406179545088,181025491800
810,411548254208,182592206981
820,416916963328,183975544918
830,422285672448,186382424818
840,427556864000,188361913888
850,432539697152,189470596348
860,437180694528,190868749308
870,442291453952,192601682839
880,447660163072,194732141464
890,453028872192,196180452186
900,457897410560,197411162770
910,463266119680,199025825142
920,468116832256,201072474537
930,473485541376,202770232516
940,478213570560,204028376039
950,483234152448,205756272182
960,487885635584,207229322971
970,492792971264,209251378379
980,497689821184,210768577803
990,502447210496,211417725685
1000,507781316608,212304251202
1010,513150025728,214258117932
1020,518518734848,215711437541
1030,523344281600,216560806524
1040,528712990720,217418395814
1050,534081699840,218521011997
1060,539432583168,219915112850
1070,544801292288,221194576582
1080,549641519104,222954185372
1090,554818338816,224004754901
1100,560187047936,225084445720
1110,565145763840,225961549832
1120,570514472960,227042206148
1130,575735332864,228200544286
1140,580846092288,229541268754
1150,586214801408,231571165044
1160,591447195648,232514131638
1170,596337754112,233314807388
1180,601237749760,234281448159
1190,606606458880,234937459485
1200,611975168000,235951983970
1210,617121579008,237852488969
1220,622183055360,238442421480
1230,627551764480,239449436503
1240,632920473600,241041561938
1250,638289182720,242941653703
1260,642473000960,243639571582
1270,647482048512,245018256794
1280,652850757632,245793810662
1290,658219466752,247394050388
1300,662662283264,249029092170
1310,668030992384,250470067772
1320,672961396736,251535029394
1330,677854052352,252283482736
1340,682857857024,252987622707
1350,686938914816,254837111012
1360,692307623936,255735123951
1370,697646972928,256941916926
1380,701739565056,257389367755
1390,705530167296,258579575620
1400,710424920064,259948644618
1410,715294507008,261073587362
1420,719634563072,262428029050
