file,origin size,mfs size
1,438525916,438538384
2,817569354,817581822
3,1515548394,2559067075
4,1923519998,3133176880
5,2320956047,4136131571
6,2759573399,5335909917
7,4337556305,7371208495
8,4761176647,7801461649
9,5086826630,8418479234
10,5505261024,9234101646
11,5927113858,9758008914
12,6340255262,10970995083
13,6763459599,11380408109
14,7189763671,7526440048
15,7240634681,8006199947
16,7660916473,8028995311
17,7985068085,8772650726
18,8333448417,9515574052
19,8644581533,10161478642
20,9054478409,9615765391
21,14474956250,14934994551
22,14933290087,16404509720
23,15382876644,17374495248
24,15471244733,17853631532
25,15900587374,12181840839
26,16342537921,12631758100
27,16710446432,13378204800
28,17158150872,13434519345
29,17595991248,13445719538
30,17996556162,14275812015
31,18373974325,14626216857
file,origin size,mfs size
file,origin size,mfs size
file,origin size,mfs size
file,origin size,mfs size
1,438525916,1084026585
2,817569354,1463070023
3,1515548394,2507636453
4,1923519998,2985319572
5,2320956047,3804122709
6,2759573399,5236168828
7,4337556305,7371208495
8,4782453351,7816105541
9,5206073693,8746872639
10,5531723676,10092563394
11,5950158070,10757164432
12,6372010904,11494616623
13,6785152308,11818351216
14,7208356645,7598797352
15,7634660717,8539885917
16,7685531727,8865491798
17,8105813519,9536879323
18,8429965131,8875496141
19,8778345463,9626856906
20,9089478579,9640555719
21,9499375455,9966535132
22,14919853296,15250359250
23,15378187133,16287036357
24,15827773690,17995509860
25,15916141779,17912702791
26,16345484420,12710953372
27,16787434967,13381603488
28,17155343478,13718298626
29,17603047918,13404853118
30,18040888294,14317286367
31,18441453208,15038859180
32,18818871371,14988715986
