file,origin size,mfs size
1,438525916,438538384
2,817569354,817581822
3,1515548394,2082615704
4,1923519998,2923171912
5,2320956047,3892017995
6,2759573399,5190082634
7,4337556305,7371208495
8,4782453351,7965354101
9,5206073693,8942893213
10,5531723676,9965608726
11,5950158070,10693278299
12,6372010904,11732258693
13,6785152308,12695055299
14,7208356645,13406766917
15,7634660717,13584987180
16,7685531727,13739981012
17,8105813519,14256684696
18,8429965131,14800913398
19,8778345463,11260811990
20,9089478579,10867904167
21,9499375455,12112391845
22,14919853296,15578219220
23,15378187133,11592762819
24,15827773690,12424503811
25,15916141779,12938860818
26,16345484420,12464903956
27,16787434967,13370111628
28,17155343478,14227043114
29,17603047918,13858141786
30,18040888294,14613385873
31,18441453208,15061186529
32,18818871371,15045581692
