file,origin size,mfs size
1,45615220,45627688
2,97521992,97534460
3,149431096,149443564
4,195046316,195058784
5,246953088,254713494
6,298859860,325682310
7,350766632,402871336
8,402673404,506300364
9,454580176,606724505
10,506486948,769817028
11,552102168,1017730440
12,597717388,1285651464
13,649624160,1369915912
14,695239380,1415531132
15,747146152,1467437904
16,799052924,1519344676
17,850959696,1571251448
18,902866468,1623158220
19,954773240,1675064992
20,1006682344,1726974096
21,1058589116,1778880868
22,1104204336,1824496088
23,1156111108,1876402860
24,1201726328,1922018080
25,1253633100,1973924852
26,1305539872,2025831624
27,1357446644,2077738396
28,1403061864,2123353616
29,1454968636,2175260388
30,1506875408,2227167160
31,1558782180,1681356544
32,1610691284,2009779456
33,1656308548,2316989893
34,1701925812,2362943424
35,1753832584,2414850196
36,1805741688,2466759300
37,1857648460,2518666072
38,1909555232,2570572844
39,1961462004,2622479616
40,2007079268,2668096880
41,2058986040,2720003652
42,2110892812,2771910424
43,2162799584,2400531176
44,2214706356,2786434296
45,2266613128,2838341068
46,2318519900,2890247840
47,2370429004,2942156944
48,2422335776,2994063716
49,2474242548,3045970488
50,2519857768,3091585708
51,2571764540,3143492480
52,2623671312,3195399252
53,2675578084,2654864528
54,2727487188,3189044026
55,2779393960,3264207964
56,2831300732,3316114736
57,2883207504,3368021508
58,2928822724,3413636728
59,2980729496,3465543500
60,3032636268,3072505928
61,3084545372,3465160268
62,3136452144,3517067040
63,3182069408,3562684304
64,3233976180,3614591076
65,3285882952,3666497848
66,3337789724,3718404620
67,3389696496,3272395642
68,3435313760,3538057245
69,3487222864,3178666490
