file,origin size,mfs size
1,19466370,19478838
2,38932740,38945208
3,58399110,74394488
4,77865480,150397969
5,97331850,212705167
6,116799800,265737146
7,136266170,313923356
8,153374536,359774899
9,172840906,407265701
10,192307276,445944367
11,211775226,476308271
12,231241596,515741067
13,248348574,414634627
14,267816524,477305589
15,287282894,508692648
16,306749264,548197790
17,326217214,571431095
18,345683584,636326067
19,365149954,678227890
20,384616324,610789743
21,404082694,652590204
22,421189672,690940547
23,440656042,727696782
24,457764408,767317879
25,477230778,791321720
26,496697148,819869340
27,516163518,859823710
28,535629888,885131735
29,555096258,904598105
30,574562628,924064475
31,591669606,941175547
32,611135976,961177512
33,628242954,958818120
34,647709324,975324226
35,667175694,1008543846
36,686642064,1028010216
37,706110014,1047478166
38,725576384,1066944536
39,745042754,1086410906
40,764510704,1105878856
41,783977074,898825574
42,803443444,1054087014
43,822909814,1092023258
44,842376184,1128155933
45,861842554,1155633700
46,881308924,1191857232
47,900775294,1056978400
48,920241664,1100800365
49,937348642,1129494764
50,956815012,1156764470
51,976281382,1129912305
52,995747752,1167512511
53,1015215702,1189088784
54,1034682072,1219510962
55,1051789050,1264252882
56,1071255420,1292140087
57,1090721790,1321202965
58,1107828768,1357733751
59,1127295138,1339052084
60,1144403504,1372175945
61,1161510482,1405041730
62,1180976852,1431745359
63,1198083830,1457142797
64,1217550200,1487298687
65,1234658566,1510855149
66,1254124936,1496102267
67,1271233302,1524514297
68,1290701252,1556288889
69,1307808230,1579741609
