file,storage consumption
1,51919197
2,103825969
3,149443233
4,264719551
5,350997164
6,538923490
7,464676423
8,572956135
9,646315840
10,622889488
11,688924767
12,723270214
13,774799539
14,827554404
15,871750966
16,921883095
17,965151544
18,1014874340
19,1057464933
20,1122247627
21,1151668467
22,1196627908
23,1240309099
24,1286264909
25,1330314290
26,1411662288
27,1512202066
28,1456090379
29,1500825594
30,1545938358
31,1574207265
32,1626232785
33,1775356169
34,1720557278
35,1796778430
36,1812968103
37,1836399362
38,1892323352
39,2018524150
40,1984262925
41,2028115687
42,2068086954
43,2107203312
44,2157562369
45,2190056311
46,2237744114
47,2284136019
48,2326991021
49,2350424079
50,2439848369
51,2451798200
52,2477805972
53,2583941952
54,2583163425
55,2628075251
56,2654935504
57,2739222746
58,2774432770
59,2798952959
60,2839227266
61,2925290344
62,2905343231
63,2973400891
64,3015056390
65,3056930357
66,3098951144
67,3143410204
68,3186817077
69,3234031839
