file,original,physical end,dedup ratio
1,325649983,0,0
2,674030315,0,0
3,1121734755,0,0
4,1563685302,0,0
5,1874818418,0,0
6,2287959822,0,0
7,2706394216,0,0
8,3135736857,0,0
9,4713719763,0,0
10,5092763201,0,0
11,5531380553,0,0
12,5855532165,0,0
13,6252968214,0,0
14,6950947254,0,0
15,7372800088,0,0
16,7811326004,0,0
17,8237630076,0,0
18,8638194990,0,0
19,9083092036,0,0
20,9133963046,0,0
21,9543859922,0,0
22,10002193759,0,0
23,10090561848,0,0
24,10513766185,0,0
25,10937386527,0,0
26,11375226903,0,0
27,11795508695,0,0
28,12163417206,0,0
29,17583895047,0,0
30,17961313210,0,0
31,18410899767,0,0
32,18818871371,20118024192.0,1.069034576802624
