file,original,physical end,dedup ratio
1,51906772,53420032.0,1.0291534214456641
2,103813544,687714304.0,6.624514273397699
3,155720316,731602944.0,4.698185585495472
4,207627088,775921664.0,3.737092647564368
5,259536192,821497856.0,3.1652535612451307
6,311442964,1013452800.0,3.2540558533857262
7,363349736,1057460224.0,2.910309597692951
8,415256508,1101426688.0,2.652400785492325
9,467163280,1294393344.0,2.7707514683088963
10,519070052,1338241024.0,2.5781510970315042
11,570979156,1382981632.0,2.422122799873276
12,622885928,1428054016.0,2.2926413197120743
13,674792700,1472069632.0,2.1815138664066756
14,720407920,1662259200.0,2.307386070936033
15,772317024,1707024384.0,2.210263830724519
16,824223796,1752580096.0,2.126340084459294
17,876130568,1796349952.0,2.0503221980950217
18,921745788,1837559808.0,1.993564637802283
19,973652560,1883168768.0,1.9341280918523955
20,1025559332,1926975488.0,1.878950761670803
21,1071174552,1967980544.0,1.8372174173906253
22,1123081324,2012913664.0,1.792313362340268
23,1174988096,2058092544.0,1.7515858679814234
24,1220605360,2102194176.0,1.722255402843717
25,1266220580,2144600064.0,1.69370179088386
26,1318127352,2188730368.0,1.6604847510971004
27,1370034124,2382475264.0,1.7389897246092243
28,1421940896,2427166720.0,1.7069392453847814
29,1473847668,2471858176.0,1.6771463087187923
30,1525756772,2517729280.0,1.6501511421769393
31,1577663544,2561916928.0,1.6238677364024836
32,1629572648,2607316992.0,1.6000004634343863
33,1681479420,2653351936.0,1.5779865661394774
34,1727096684,2697060352.0,1.5616151527507651
35,1779003456,2741526528.0,1.5410462069389033
36,1830910228,2785021952.0,1.5211133289927745
37,1882817000,2829737984.0,1.5029277853344218
38,1934723772,2874314752.0,1.4856460615195253
39,1986630544,2919133184.0,1.4693890581801101
40,2038537316,2963083264.0,1.4535339827941613
41,2084154580,3007614976.0,1.4430863261591662
42,2136061352,3050876928.0,1.4282721444978421
43,2181676572,3093639168.0,1.4180099872292162
44,2233583344,3138965504.0,1.4053496201214508
45,2279198564,3181445120.0,1.3958613217167681
46,2324813784,3224100864.0,1.3868211235622991
47,2376722888,3270447104.0,1.3760321493567407
48,2428629660,3316756480.0,1.3656905104255377
49,2480536432,3361046528.0,1.354967612908658
50,2532443204,3408191488.0,1.3458116188417388
51,2584349976,3452891136.0,1.336077221764023
52,2636256748,3497656320.0,1.3267510164377965
53,2688163520,3542241280.0,1.317717934063773
54,2740070292,3588046848.0,1.3094725556770497
55,2791977064,3633016832.0,1.3012344832070584
56,2843883836,3678138368.0,1.2933504250206653
57,2895790608,3722207232.0,1.285385490828279
58,2941405828,3764625408.0,1.2798728322911312
59,2993314932,3809755136.0,1.2727545288575737
60,3038932196,3854049280.0,1.268224834062734
61,3090838968,3898138624.0,1.2611911084201135
62,3142748072,3943256064.0,1.2547159281178297
63,3194654844,3988492288.0,1.248489268094466
64,3246561616,4032561152.0,1.242102146506743
65,3292176836,4074676224.0,1.2376844947827097
66,3344083608,4118519808.0,1.2315839825736796
67,3395990380,4163424256.0,1.2259823468640096
68,3441607644,4207771648.0,1.2226180562260514
69,3487222864,4249825280.0,1.218684737322828
