file,original,physical end,dedup ratio
1,51906772,9216.0,1.00
2,103813544,16307712.0,1.00
3,155720316,16308224.0,1.00
4,207627088,21797376.0,1.00
5,259536192,21797888.0,1.00
6,311442964,25828864.0,1.00
7,363349736,34598912.0,1.00
8,415256508,37327360.0,1.00
9,467163280,42185728.0,1.00
10,519070052,50435584.0,1.00
11,570979156,60741632.0,1.00
12,622885928,70961664.0,1.00
13,674792700,70962176.0,1.00
14,720407920,70962688.0,1.00
15,772317024,70963200.0,1.00
16,824223796,438268416.0,1.00
17,876130568,446469120.0,1.00
18,921745788,446469632.0,1.00
19,973652560,446470144.0,1.00
20,1025559332,446470656.0,1.00
21,1071174552,446471168.0,1.00
22,1123081324,649018880.0,1.00
23,1174988096,649019392.0,1.00
24,1220605360,649019904.0,1.00
25,1266220580,649020416.0,1.00
26,1318127352,845800960.0,1.00
27,1370034124,858789888.0,1.00
28,1421940896,858790400.0,1.00
29,1473847668,858790912.0,1.00
30,1525756772,858791424.0,1.00
31,1577663544,858791936.0,1.00
32,1629572648,858792448.0,1.00
33,1681479420,904315904.0,1.00
34,1727096684,1044035072.0,1.00
35,1779003456,1052776448.0,1.00
36,1830910228,1052776960.0,1.00
37,1882817000,1052777472.0,1.00
38,1934723772,1052777984.0,1.00
39,1986630544,1052778496.0,1.00
40,2038537316,1052779008.0,1.00
41,2084154580,1359614976.0,1.00
42,2136061352,1365317120.0,1.00
43,2181676572,1365317632.0,1.00
44,2233583344,1365318144.0,1.00
45,2279198564,1365318656.0,1.00
46,2324813784,1365319168.0,1.00
47,2376722888,1365319680.0,1.00
48,2428629660,1365320192.0,1.00
49,2480536432,1365320704.0,1.00
50,2532443204,1401628160.0,1.00
51,2584349976,1410750464.0,1.00
52,2636256748,1641736704.0,1.00
53,2688163520,1650990080.0,1.00
54,2740070292,1650990592.0,1.00
55,2791977064,1650991104.0,1.00
56,2843883836,1650991616.0,1.00
57,2895790608,1650992128.0,1.00
58,2941405828,1650992640.0,1.00
59,2993314932,1650993152.0,1.00
60,3038932196,1650993664.0,1.00
61,3090838968,1650994176.0,1.00
62,3142748072,2091392512.0,1.00
63,3194654844,2098229248.0,1.00
64,3246561616,2098229760.0,1.00
65,3292176836,2098230272.0,1.00
66,3344083608,2098230784.0,1.00
67,3395990380,2098231296.0,1.00
68,3441607644,2496698880.0,1.00
69,3487222864,2499189760.0,1.00
