file,original,physical end,dedup ratio
1,51906772,9216.0,1.00
2,103813544,54138368.0,1.00
3,155720316,107878400.0,1.00
4,207627088,151005696.0,1.00
5,259536192,155839488.0,1.00
6,311442964,207482368.0,1.00
7,363349736,261726208.0,1.00
8,415256508,314257920.0,1.00
9,467163280,337875968.0,1.00
10,519070052,362255872.0,1.00
11,570979156,413878272.0,1.00
12,622885928,467114496.0,1.00
13,674792700,516164608.0,1.00
14,720407920,516165120.0,1.00
15,772317024,568840192.0,1.00
16,824223796,622350848.0,1.00
17,876130568,675369984.0,1.00
18,921745788,675370496.0,1.00
19,973652560,724523008.0,1.00
20,1025559332,779164160.0,1.00
21,1071174552,829656064.0,1.00
22,1123081324,845110784.0,1.00
23,1174988096,882253824.0,1.00
24,1220605360,932454912.0,1.00
25,1266220580,976462848.0,1.00
26,1318127352,990373376.0,1.00
27,1370034124,1039964160.0,1.00
28,1421940896,1095330304.0,1.00
29,1473847668,1148443648.0,1.00
30,1525756772,1180245504.0,1.00
31,1577663544,1199349760.0,1.00
32,1629572648,1250189824.0,1.00
33,1681479420,1304384512.0,1.00
34,1727096684,1348027904.0,1.00
35,1779003456,1360750592.0,1.00
36,1830910228,1410800128.0,1.00
37,1882817000,1464380416.0,1.00
38,1934723772,1518476800.0,1.00
39,1986630544,1545658368.0,1.00
40,2038537316,1566032384.0,1.00
41,2084154580,1616880640.0,1.00
42,2136061352,1676477952.0,1.00
43,2181676572,1692899328.0,1.00
44,2233583344,1725843968.0,1.00
45,2279198564,1773169664.0,1.00
46,2324813784,1828535808.0,1.00
47,2376722888,1844838400.0,1.00
48,2428629660,1880302080.0,1.00
49,2480536432,1935270912.0,1.00
50,2532443204,1990350336.0,1.00
51,2584349976,2030622720.0,1.00
52,2636256748,2041645568.0,1.00
53,2688163520,2092518400.0,1.00
54,2740070292,2145009152.0,1.00
55,2791977064,2200502272.0,1.00
56,2843883836,2234081792.0,1.00
57,2895790608,2249942016.0,1.00
58,2941405828,2301089280.0,1.00
59,2993314932,2359203840.0,1.00
60,3038932196,2375690752.0,1.00
61,3090838968,2412260352.0,1.00
62,3142748072,2464517632.0,1.00
63,3194654844,2517278720.0,1.00
64,3246561616,2556936704.0,1.00
65,3292176836,2567181312.0,1.00
66,3344083608,2619344384.0,1.00
67,3395990380,2672486400.0,1.00
68,3441607644,2719230464.0,1.00
69,3487222864,2727955456.0,1.00
