file,original,basic size,basic dedup ratio,Percentage difference,opt size,opt dedup ratio,opt percentage difference
0,0,0,0,0,0,0,
100,49278877696,32010675712,1.53945134240095,0.64958207671597,34879234048,1.41284288606176,0.707792784226317
200,98887008256,59400817664,1.66474153294241,0.600693849592682,63847636992,1.54879668089189,0.645662540692003
300,146941149184,82745826816,1.7758134136571,0.563122224615145,88814354432,1.65447522671016,0.604421259294675
400,197783453696,105532158464,1.87415340096042,0.533574252506514,114138988544,1.73282991394089,0.577090683831599
500,249499222016,127776865280,1.95261655127685,0.512133321489098,137913335808,1.80910149518352,0.552760584556676
600,301047218176,146871785984,2.04972804108745,0.487869600237046,158439378944,1.90007825189977,0.526294113939868
700,352065683456,165922167296,2.12187249716866,0.471281851918227,178770657280,1.96937063840727,0.507776434002669
800,404291059712,184022447616,2.19696599490751,0.455173180794772,198354690048,2.03822284017668,0.490623488407831
900,455575863296,200641884672,2.27059202539268,0.440413772627014,216834777088,2.10102765531522,0.475957561753259
1000,504537022464,217584023552,2.31881465480586,0.431254821478488,236187553792,2.13617108253013,0.468127299436886
1100,557891715072,233520886784,2.38904417825389,0.418577441598792,254059372544,2.19591078056126,0.455391907928247
1200,609322270720,247157296640,2.46532179710444,0.405626560059833,269338140672,2.26229478379756,0.44202904376651
1300,659421134848,261494971392,2.52173543276088,0.396552305610095,285159231488,2.31246637679254,0.432438719989966
1400,708897144832,274294961152,2.58443371272565,0.386931959243544,299780788224,2.36471839650479,0.422883334217751
1420,719634563072,277659590656,2.5917871641739,0.385834150976181,303783784448,2.36890380564465,0.422136178605983
