file,original,physical end,dedup ratio
1,19466370,26112000.0,1.3413903054344491
2,38932740,485769216.0,12.477139189278741
3,56039718,502521856.0,8.967244553229193
4,75507668,520204288.0,6.88942330996105
5,94975618,537903104.0,5.6635915125079785
6,112083984,850505728.0,7.588111143515384
7,131550354,1015660544.0,7.720697916175885
8,151018304,1033691136.0,6.844806944726383
9,170484674,1198723072.0,7.031265883759146
10,189951044,1216286720.0,6.403158910777032
11,209417414,1233850368.0,5.8918231508674825
12,228883784,1398874112.0,6.111722235420575
13,248350154,1416630272.0,5.7041650636544405
14,267816524,1434300416.0,5.355533686188833
15,287282894,1452380160.0,5.055574802166954
16,306749264,1469509632.0,4.790588941722775
17,326215634,1487147008.0,4.558785211379538
18,343322612,1503944704.0,4.380558260462029
19,362788982,1521254400.0,4.193221060941702
20,382255352,1538953216.0,4.02598212934897
21,401723302,1556844544.0,3.875415083589052
22,421189672,1575092224.0,3.7396268918958677
23,440657622,1592643584.0,3.61424267841213
24,457764600,1608871936.0,3.514627247279497
25,474871578,1625534464.0,3.4231032963611057
26,491978556,1642303488.0,3.3381607144682137
27,511444926,1660276736.0,3.246247350589612
28,530911296,1677901824.0,3.1604183912485446
29,550377666,1695752192.0,3.0810701392087374
30,569844036,1713389568.0,3.0067693259142927
31,586952402,1730441216.0,2.948179801468808
32,606418772,1748496384.0,2.8833150699365224
33,623525750,1765199872.0,2.830997552226191
34,642992120,1782333440.0,2.77193667630017
35,662458490,1799483392.0,2.716371545030693
36,681924860,1817010176.0,2.664531362003726
37,701392810,1834594304.0,2.6156445829548782
38,720859180,1852104704.0,2.5693016824728514
39,740325550,1869352960.0,2.5250418008671995
40,759791920,1888534528.0,2.4855943822092765
41,779258290,1905315840.0,2.4450376267411924
42,796365268,1922015232.0,2.4134845016872335
43,815831638,1940770816.0,2.3788864339188573
44,832940004,1957908480.0,2.35059964775086
45,852406374,1975058432.0,2.3170385537262534
46,871872744,1992323072.0,2.2851076441036215
47,891339114,2010083328.0,2.25512747777834
48,910805484,2028109824.0,2.2267211381876133
49,930273434,2046726144.0,2.200133927505018
50,949739804,2064023552.0,2.1732516035518294
51,969206174,2081067008.0,2.1471871143899666
52,988672544,2099183616.0,2.1232344609339124
53,1005780910,2115997696.0,2.103835611674117
54,1025247280,2133655552.0,2.081113106683882
55,1042354258,2149769216.0,2.0624170712602394
56,1061820628,2167472128.0,2.0412789795603783
57,1081286998,2185003008.0,2.0207428851373277
58,1100754948,2203377664.0,2.001696806363118
59,1120221318,2220654592.0,1.9823355941526548
60,1139687688,2238451712.0,1.9640922119007747
61,1156796054,2255233024.0,1.9495511038456568
62,1176262424,2272612352.0,1.9320623575407183
63,1195728794,2289737728.0,1.914930659435136
64,1215195164,2307055616.0,1.898506251790844
65,1234661534,2324328448.0,1.8825632645003096
66,1254127904,2342096896.0,1.8675103938999829
67,1271234882,2358235136.0,1.8550742820161223
68,1290701252,2375995392.0,1.8408561921810238
69,1307808230,2392723456.0,1.829567516943979
