file,original,basic size,basic dedup ratio,percentage difference,opt size,opt dedup ratio,opt percentage diff
0,0,0,0,0,0,0,0
1,19466370,15908864,1.22361785228662,0.817248619028612,26112000,0.745495174632353,1.34139030543445
2,38932740,31676928,1.22905668125394,0.813632125558078,485769216,0.080146577258613,12.4771391892787
3,56039718,46991872,1.1925406589463,0.83854583279666,502521856,0.111516976487486,8.96724455322919
4,75507668,63191552,1.1949013057948,0.836889201769547,520204288,0.145150029982067,6.88942330996105
5,94975618,79407616,1.19605174899093,0.836084225321914,537903104,0.176566406279745,5.66359151250798
6,112083984,95289344,1.17624887836357,0.850160215575492,850505728,0.131785101863535,7.58811114351538
7,131550354,111318016,1.18175259250039,0.846200809159358,1015660544,0.129521969497714,7.72069791617589
8,151018304,127857664,1.18114393205244,0.846636868601041,1033691136,0.146096158456369,6.84480694472638
9,170484674,143760896,1.18589045243569,0.84324820892698,1198723072,0.142221900939602,7.03126588375915
10,189951044,159843328,1.1883576648254,0.841497496586542,1216286720,0.156172916201864,6.40315891077703
11,209417414,175916032,1.19043961837429,0.840025806067875,1233850368,0.169726750853471,5.89182315086748
12,228883784,191814144,1.19325811552249,0.838041649992994,1398874112,0.16362000128286,6.11172223542058
13,248350154,208080384,1.19352987160962,0.837850835397509,1416630272,0.17531049484731,5.70416506365444
14,267816524,224263168,1.1942064601531,0.837376143377919,1434300416,0.186722754182064,5.35553368618883
15,287282894,240417280,1.19493446560913,0.836865977826024,1452380160,0.197801444767739,5.05557480216695
16,306749264,256499712,1.19590490612325,0.836186886498935,1469509632,0.208742601831411,4.79058894172278
17,326215634,272653824,1.19644620865468,0.835808574398369,1487147008,0.219356682456507,4.55878521137954
18,343322612,288010240,1.19205001877711,0.838890972902187,1503944704,0.228281406282342,4.38055826046203
19,362788982,303837696,1.19402229142759,0.837505302186933,1521254400,0.23848015295798,4.1932210609417
20,382255352,320050176,1.19436069924236,0.837268005079495,1538953216,0.248386596828165,4.02598212934897
21,401723302,336454656,1.19398942721126,0.837528354280031,1556844544,0.258036875645819,3.87541508358905
22,421189672,352692224,1.19421309385035,0.837371491863172,1575092224,0.2674063560103,3.73962689189587
23,440657622,369274880,1.19330516605949,0.838008607054118,1592643584,0.276683136407248,3.61424267841213
24,457764600,384073728,1.19186647413697,0.839020160143445,1608871936,0.284525194179284,3.5146272472795
25,474871578,399293440,1.18927968864202,0.840845101072779,1625534464,0.292132580709159,3.42310329636111
26,491978556,414629376,1.18655016860166,0.842779366993386,1642303488,0.299566163985399,3.33816071446821
27,511444926,430594048,1.18776589777665,0.8419167462813,1660276736,0.308047998812651,3.24624735058961
28,530911296,447250944,1.18705461245488,0.842421224354586,1677901824,0.316413802289305,3.16041839124854
29,550377666,463612928,1.18714909088989,0.842354180847157,1695752192,0.324562556130843,3.08107013920874
30,569844036,479593472,1.18818138542136,0.841622341731414,1713389568,0.332582879365354,3.00676932591429
31,586952402,495384064,1.18484312406142,0.843993588427295,1730441216,0.339192338100204,2.94817980146881
32,606418772,511943168,1.18454314835197,0.844207322790463,1748496384,0.346823006069196,2.88331506993652
33,623525750,527160320,1.18280099306412,0.84545076125565,1765199872,0.353232378888366,2.83099755222619
34,642992120,542878720,1.1844120911573,0.844300735753962,1782333440,0.36075860193702,2.77193667630017
35,662458490,558551040,1.1860303581209,0.843148738270378,1799483392,0.368138151730161,2.71637154503069
36,681924860,574590976,1.1868005041555,0.842601596897347,1817010176,0.375300517854667,2.66453136200373
37,701392810,590692352,1.187407975785,0.842170526384495,1834594304,0.382314939314234,2.61564458295488
38,720859180,606715904,1.18813298818684,0.841656624252187,1852104704,0.389210814293143,2.56930168247285
39,740325550,622486016,1.18930470881454,0.840827411670447,1869352960,0.396033047712937,2.5250418008672
40,759791920,638939136,1.18914600341526,0.840939629892353,1888534528,0.402318257217482,2.48559438220928
41,779258290,654752256,1.19015747232492,0.840224947751278,1905315840,0.408991660931135,2.44503762674119
42,796365268,670018560,1.18857195239487,0.8413457830509,1922015232,0.414338687197251,2.41348450168723
43,815831638,686775808,1.18791551550983,0.841810707027275,1940770816,0.420364749549078,2.37888643391886
44,832940004,702636544,1.1854493067756,0.843562010019632,1957908480,0.425423359931512,2.35059964775086
45,852406374,718657536,1.18610928195986,0.843092635062816,1975058432,0.431585395241613,2.31703855372625
46,871872744,734443008,1.18712103526486,0.842374088482803,1992323072,0.437616145821555,2.28510764410362
47,891339114,750203392,1.18812994383262,0.841658780835237,2010083328,0.443433912208439,2.25512747777834
48,910805484,765866496,1.18924837260409,0.840867242736101,2028109824,0.449090810182871,2.22672113818761
49,930273434,781963776,1.18966307973836,0.840574123070142,2046726144,0.454517785257743,2.20013392750502
50,949739804,797778944,1.19047990817867,0.839997376797319,2064023552,0.460140003286164,2.17325160355183
51,969206174,813851136,1.1908887646991,0.839708988481949,2081067008,0.465725596664689,2.14718711438997
52,988672544,829969920,1.19121491053555,0.839479082368449,2099183616,0.47097954484035,2.12323446093391
53,1005780910,845872128,1.18904604692212,0.841010323013587,2115997696,0.475322308668525,2.10383561167412
54,1025247280,861532672,1.19002716126824,0.840316954559489,2133655552,0.480512085954537,2.08111310668388
55,1042354258,876734976,1.18890461374727,0.841110370367001,2149769216,0.48486798035906,2.06241707126024
56,1061820628,892955136,1.18910859593286,0.840966084527791,2167472128,0.489888942184358,2.04127897956038
57,1081286998,909000704,1.18953372999808,0.840665526988978,2185003008,0.494867510040517,2.02074288513733
58,1100754948,925366784,1.18953367143984,0.840665568373171,2203377664,0.499576157998123,2.00169680636312
59,1120221318,941682176,1.18959596618722,0.840621545822073,2220654592,0.504455452926197,1.98233559415266
60,1139687688,957490176,1.19028656018294,0.840133824451739,2238451712,0.509141064732515,1.96409221190077
61,1156796054,973354496,1.18846325645369,0.84142273189324,2255233024,0.512938592903471,1.94955110384566
62,1176262424,989249536,1.18904521174322,0.841010913734672,2272612352,0.517581638137642,1.93206235754072
63,1195728794,1004900864,1.18989726930914,0.840408685516692,2289737728,0.522212120356869,1.91493065943514
64,1215195164,1020742656,1.19050101105993,0.839982486961247,2307055616,0.52672989570443,1.89850625179084
