file,original,physical end,dedup ratio
1,19466370,9216.0,1.00
2,38932740,9728.0,1.00
3,56039718,10240.0,1.00
4,75507668,4098560.0,1.00
5,94975618,13474816.0,1.00
6,112083984,17214976.0,1.00
7,131550354,30502912.0,1.00
8,151018304,35656192.0,1.00
9,170484674,41796608.0,1.00
10,189951044,47789568.0,1.00
11,209417414,49453056.0,1.00
12,228883784,49453568.0,1.00
13,248350154,49454080.0,1.00
14,267816524,49454592.0,1.00
15,287282894,49455104.0,1.00
16,306749264,49455616.0,1.00
17,326215634,49456128.0,1.00
18,343322612,247580160.0,1.00
19,362788982,247580672.0,1.00
20,382255352,247581184.0,1.00
21,401723302,264473600.0,1.00
22,421189672,269377024.0,1.00
23,440657622,269377536.0,1.00
24,457764600,269378048.0,1.00
25,474871578,274625536.0,1.00
26,491978556,274626048.0,1.00
27,511444926,274626560.0,1.00
28,530911296,274627072.0,1.00
29,550377666,274627584.0,1.00
30,569844036,274628096.0,1.00
31,586952402,274628608.0,1.00
32,606418772,279110144.0,1.00
33,623525750,287695872.0,1.00
34,642992120,293369344.0,1.00
35,662458490,297928704.0,1.00
36,681924860,311167488.0,1.00
37,701392810,313560064.0,1.00
38,720859180,313560576.0,1.00
39,740325550,313561088.0,1.00
40,759791920,313561600.0,1.00
41,779258290,313562112.0,1.00
42,796365268,313562624.0,1.00
43,815831638,484734976.0,1.00
44,832940004,505321984.0,1.00
45,852406374,505322496.0,1.00
46,871872744,505323008.0,1.00
47,891339114,505323520.0,1.00
48,910805484,534389248.0,1.00
49,930273434,539071488.0,1.00
50,949739804,545334784.0,1.00
51,969206174,552822784.0,1.00
52,988672544,556849664.0,1.00
53,1005780910,558394368.0,1.00
54,1025247280,558607872.0,1.00
55,1042354258,565116928.0,1.00
56,1061820628,593580544.0,1.00
57,1081286998,609821696.0,1.00
58,1100754948,611816960.0,1.00
59,1120221318,611817472.0,1.00
60,1139687688,611817984.0,1.00
61,1156796054,611818496.0,1.00
62,1176262424,656985600.0,1.00
63,1195728794,662364160.0,1.00
64,1215195164,670474752.0,1.00
65,1234661534,673555456.0,1.00
66,1254127904,783001088.0,1.00
67,1271234882,794118144.0,1.00
68,1290701252,796477952.0,1.00
69,1307808230,796478464.0,1.00
