file,original,physical end,dedup ratio
1,19466370,9216.0,1.00
2,38932740,9728.0,1.00
3,56039718,10240.0,1.00
4,75507668,42396160.0,1.00
5,94975618,49449984.0,1.00
6,112083984,49450496.0,1.00
7,131550354,53022720.0,1.00
8,151018304,100393472.0,1.00
9,170484674,100393984.0,1.00
10,189951044,100394496.0,1.00
11,209417414,146622464.0,1.00
12,228883784,146622976.0,1.00
13,248350154,146623488.0,1.00
14,267816524,170941952.0,1.00
15,287282894,193781760.0,1.00
16,306749264,193782272.0,1.00
17,326215634,193782784.0,1.00
18,343322612,242042368.0,1.00
19,362788982,242042880.0,1.00
20,382255352,242043392.0,1.00
21,401723302,280566784.0,1.00
22,421189672,293277184.0,1.00
23,440657622,293277696.0,1.00
24,457764600,293278208.0,1.00
25,474871578,340460544.0,1.00
26,491978556,340461056.0,1.00
27,511444926,340461568.0,1.00
28,530911296,372460032.0,1.00
29,550377666,388451328.0,1.00
30,569844036,388451840.0,1.00
31,586952402,388452352.0,1.00
32,606418772,434188800.0,1.00
33,623525750,434189312.0,1.00
34,642992120,434189824.0,1.00
35,662458490,461895680.0,1.00
36,681924860,481421824.0,1.00
37,701392810,481422336.0,1.00
38,720859180,481422848.0,1.00
39,740325550,527867904.0,1.00
40,759791920,527868416.0,1.00
41,779258290,527868928.0,1.00
42,796365268,564778496.0,1.00
43,815831638,577079296.0,1.00
44,832940004,577079808.0,1.00
45,852406374,577080320.0,1.00
46,871872744,627539456.0,1.00
47,891339114,627539968.0,1.00
48,910805484,627540480.0,1.00
49,930273434,674264064.0,1.00
50,949739804,674264576.0,1.00
51,969206174,674265088.0,1.00
52,988672544,694741504.0,1.00
53,1005780910,723401728.0,1.00
54,1025247280,723402240.0,1.00
55,1042354258,723402752.0,1.00
56,1061820628,769237504.0,1.00
57,1081286998,773796864.0,1.00
58,1100754948,773797376.0,1.00
59,1120221318,794724352.0,1.00
60,1139687688,821357056.0,1.00
61,1156796054,821357568.0,1.00
62,1176262424,821358080.0,1.00
63,1195728794,870838272.0,1.00
64,1215195164,870838784.0,1.00
65,1234661534,870839296.0,1.00
66,1254127904,895784448.0,1.00
67,1271234882,918374400.0,1.00
68,1290701252,918374912.0,1.00
69,1307808230,918375424.0,1.00
