file,storage consumption
1,349442
2,994704
3,1003014
4,5276004
5,5292547
6,5490105
7,6288338
8,6296651
9,6354335
10,6391433
11,7078653
12,7095199
13,7922288
14,7938839
15,8185825
16,11264149
17,12025501
18,13116046
19,13132595
20,15589559
21,18997361
22,19721739
23,20972742
24,20989289
25,21771283
26,22503863
27,22520412
28,23215945
29,23232489
30,23244937
31,23331440
32,25520893
33,25537445
34,26290637
35,26307182
36,27039758
37,27780554
38,28381475
39,33164302
40,33180846
41,33189166
42,33251027
43,33580310
44,33596859
45,33613407
46,33621725
47,36556464
48,37334315
49,37404372
50,38099964
51,38569172
52,38779130
53,40865878
54,41582072
55,41668581
56,41685131
57,41701674
58,41718211
59,41899408
60,41907724
61,42360490
62,42957309
63,45356978
64,46291317
65,46307860
66,46316177
67,46345089
68,46361640
69,46390543
70,47065613
71,47073929
72,47646122
73,48341771
74,48366545
75,48374860
76,48399632
77,48416183
78,48440958
79,48469830
80,49161352
81,49227282
82,49243832
83,49515562
84,49532107
85,49548651
86,49581656
87,49589972
88,50330968
89,53335806
90,53344162
91,53414260
92,53558385
93,56164054
94,56802181
95,59720914
96,59799225
97,59832232
98,60457958
99,61182518
100,61190838
101,64109575
102,64224861
103,64953506
104,64994810
105,65044270
106,65126663
107,65838789
108,66600341
109,66616887
110,66629335
111,67353752
112,68102871
113,68856264
114,71667984
115,71684530
116,71701078
117,71717624
118,71742402
119,71758952
120,71775495
121,74611816
122,75377527
123,75394070
124,75460105
125,76094125
126,76102441
127,76176629
128,76180850
129,76925944
130,76934258
131,76946711
132,77650615
133,77667162
134,77687841
135,77704392
136,80561556
137,80578098
138,80853918
139,80915814
140,81903803
141,82183736
142,82192049
143,82249702
144,82360914
145,83204915
146,83209133
147,83900844
148,83925620
149,83958631
150,85971764
151,86062454
152,86070773
153,86153149
154,86161465
155,86783187
156,87454260
157,87462573
158,87470885
159,89018754
160,89027068
161,89093031
162,89109569
163,89126117
164,89159113
165,89188026
166,89196385
167,89221151
168,89418816
169,89427166
170,89435479
171,90094345
172,90102659
173,90782155
174,90790556
175,90873013
176,91651157
177,91675928
178,91762436
179,91778986
180,91853170
181,91861486
182,91882169
183,91886387
184,91907067
185,91985382
186,91989645
187,92002096
188,92706241
189,93694265
190,94612392
191,95238216
192,95242436
193,95258981
194,95267384
195,95271640
196,95424021
197,98252541
198,98264987
199,98281527
200,98392807
201,100768592
202,100785139
203,100801684
204,103441056
205,103457607
206,104145171
207,106862827
208,107583242
209,107608019
210,107657476
211,110412136
212,111021597
213,111083448
214,111833055
215,112516451
216,112841750
217,112854198
218,112870747
219,113537862
220,113546182
221,115468980
222,116152547
223,116354401
224,116494520
225,117198599
226,120394467
227,120497469
228,122601830
229,123211200
230,123334852
231,123425534
232,124607434
233,125991048
234,126019959
235,126723966
236,126728183
237,126748868
238,129425705
239,129495830
240,129565929
241,129973693
242,130644966
243,131336756
244,131929790
245,132572167
246,132613405
247,132629944
248,132662950
249,132671265
250,132733161
251,132741515
252,132753964
253,132770505
254,132787050
255,132869467
256,133602416
257,134273647
258,134290188
259,134314999
260,134327451
261,134348096
262,136823140
263,137494363
264,138338468
265,140916724
266,140929172
267,141621101
268,142168738
269,142181194
270,142370770
271,142403779
272,142420325
273,142432774
274,142436995
275,142511221
276,142540129
277,142548528
278,143034355
279,143046808
280,143709832
281,144216423
282,144232968
283,146983639
284,146987860
285,146992120
286,147000438
287,149693871
288,149702185
289,150418702
290,150431155
291,153446325
292,154795390
293,154315378
294,154331922
295,155283584
296,155324815
297,155329034
298,155399081
299,155411527
300,157396318
301,157474687
302,160106403
303,160184731
304,160506117
305,160518568
306,161095188
307,162985396
308,163006070
309,163739091
310,165905575
311,165913933
312,165922253
313,166054205
314,166070755
315,168657472
316,168880078
317,171676727
318,171685080
319,171734656
320,171751204
321,171763651
322,171965453
323,171973766
324,173831582
325,176113836
326,178605620
327,179231649
328,179268825
329,179285373
330,180154540
331,180414048
332,180418354
333,180434895
334,180492735
335,183046928
336,183071742
337,183636065
338,183648512
339,184220979
340,186333961
341,186399964
342,187042502
343,187046722
344,187055079
345,187063395
346,187067616
347,187722424
348,187726641
349,189177016
350,189267249
351,189885119
352,189918117
353,192394177
354,192431319
355,192439635
356,192447990
357,192460441
358,192472891
359,192489440
360,192493659
361,193016850
362,193082800
363,193144697
364,193791471
365,196271657
366,196275915
367,196284268
368,196292618
369,196461503
370,196663381
371,196688158
372,199143604
373,199147822
374,199180834
375,199720631
376,200334528
377,200342843
378,200450025
379,200491294
380,203494470
381,204351454
382,207000044
383,207267922
384,207325725
385,207334079
386,207383577
387,207391893
388,207956256
389,208100606
390,208203667
391,208207885
392,208216273
393,208224591
394,208241135
395,208282401
396,208294847
397,208986955
398,209497601
399,209712005
400,209728549
401,209753319
402,209761635
403,209774088
404,212233843
405,212242275
406,213082242
407,212876757
408,213062186
409,213684256
410,213700797
411,213709110
412,213717460
413,214887660
414,214900103
415,214970236
416,215580038
417,215588353
418,216235180
419,219027311
420,218793759
421,218798018
422,219415939
423,221648658
424,221652876
425,225620759
426,226276012
427,226370795
428,226383247
429,226477995
430,226494579
431,226498798
432,227141544
433,227145761
434,227154116
435,227211812
436,227314911
437,227319131
438,227343896
439,227533493
440,227537788
441,227603818
442,228123099
443,230314855
444,230455105
445,230924830
446,231155605
447,231168050
448,231353422
449,233804657
450,236017663
451,236026016
452,236046733
453,236578584
454,236587025
455,236817771
456,237637726
457,237646079
458,237658534
459,237683342
460,237753462
461,237782410
462,237790767
463,238404604
464,238421152
465,238425412
466,238433766
467,238487367
468,238495718
469,238524627
470,239475945
471,239699057
472,239732105
473,241681302
474,241685520
475,244524751
476,245126481
477,245180152
478,245691246
479,245699602
480,245773008
481,245802886
482,249627450
483,250208401
484,250220850
485,250237437
486,250249882
487,252632026
488,252648572
489,255018038
490,255022381
491,257829065
492,257833328
493,260231603
494,260767541
495,262522633
496,264859534
497,267563295
498,267835317
499,268362789
500,268923242
501,268927463
502,268997627
503,269005983
504,271359354
505,271363570
506,271573826
507,271578088
508,271586405
509,271607086
510,271664892
511,273671712
512,274236443
513,274838322
514,274854865
515,274925003
516,275493892
517,275518710
518,276017313
519,276021529
520,276273046
521,276281399
522,276326829
523,276648413
524,276665022
525,276677469
526,276685829
527,279576197
528,279002457
529,279010893
530,279023344
531,279035794
532,279044110
533,281273973
534,281335917
535,283409001
536,283442081
537,285660045
538,285664307
539,287959896
540,287972350
541,288149593
542,288162039
543,290507276
544,290705267
545,290870208
546,290915571
547,290919791
548,291451615
549,291464067
550,293751432
551,294316131
552,294320393
553,294489315
554,294505861
555,294514176
556,294518433
557,295095443
558,295103790
559,295112143
560,295116358
561,295124674
562,295705754
563,295718201
564,295784198
565,296476588
566,296497315
567,297128052
568,299292022
569,299584538
570,299592895
571,299597191
572,299601451
573,301901295
574,302498830
575,302503089
576,302564963
577,302577054
578,302585369
579,302593722
580,302598068
581,302614645
582,302623000
583,303200025
584,305516829
585,305521083
586,305591240
587,305801480
588,305851095
589,305912964
590,306637594
591,306955883
592,307013724
593,307075700
594,307595327
595,307999167
596,308774233
597,309013469
598,309129072
599,309133291
600,309154006
601,309203616
602,309360372
603,309768457
604,309809866
605,310320932
606,312563529
607,312575976
608,312584322
609,312646215
610,313206985
611,313734745
612,316377302
613,319053028
614,319065480
615,321802428
616,321806692
617,321864534
618,324086487
619,324783134
620,325339714
621,325348061
622,328967759
623,331086881
624,331622890
625,331820869
626,331878647
627,331891093
628,331895347
629,332767624
630,332522004
631,333078587
632,333684525
633,335882191
634,336488222
635,336999296
636,337007651
637,337205695
638,337214007
639,337292446
640,337296665
641,337333843
642,337338135
643,337346529
644,337381327
645,337433313
646,340953731
647,339663408
648,341848800
649,341914837
650,341972667
651,342022234
652,342108958
653,344212270
654,344245324
655,344797779
656,344806132
657,344913425
658,344917689
659,347515180
660,348183061
661,348644973
662,348649191
663,350241077
664,350257622
665,350673985
666,352838889
667,352843109
668,353399815
669,353923514
670,356030157
671,356075556
672,356083869
673,356096317
674,356104632
675,356566569
676,356772765
677,356776983
678,356781330
679,356802006
680,356806225
681,357305060
682,357309275
683,358752373
684,358806075
685,358814426
686,358818687
687,359655637
688,359659893
689,359746590
690,359792038
691,360311630
692,360319988
693,360398387
694,360419060
695,362542676
696,363008705
697,363074702
698,363520003
699,363961429
700,363973880
701,367137886
702,366031514
703,368171872
704,368184321
705,368196773
706,368201033
707,368205291
708,368695894
709,368704208
710,368708511
711,368717735
712,368726128
713,368750938
714,370981565
715,371022991
716,371031307
717,371035522
718,371489252
719,371501697
720,372004603
721,372124264
722,372602746
723,372656428
724,372660691
725,372759684
726,372776226
727,372792777
728,373089708
729,373563914
730,374223693
731,374413456
732,374660872
733,374665091
734,374714742
735,374718956
736,375562174
737,375255134
738,375259390
739,375267747
740,376030681
741,376039036
742,376051486
743,376476117
744,376513339
745,376517558
746,376950502
747,377770770
748,377618482
749,380203772
750,380207990
751,380727444
752,381213962
753,381222318
754,381230674
755,381325587
756,381329804
757,381334024
758,383540227
759,383544493
760,383738423
761,383763238
762,383771674
763,383796487
764,385599028
765,387607781
766,387616137
767,387620397
768,389640924
769,389649239
770,389822406
771,390160433
772,390482147
773,390494596
774,391055277
775,391063593
776,391166759
777,391756612
778,391760866
779,391765124
780,391831086
781,392058572
782,392016824
783,392021046
784,392482919
785,393039591
786,393047943
787,393493516
788,393522423
789,394207151
790,395174187
791,394801099
792,394805319
793,394863160
794,394871517
795,395073663
796,395077881
797,395086236
798,395160514
799,395168827
800,396566379
801,396570680
802,396587302
803,398612290
804,400410590
805,400439497
806,400959156
807,401557117
808,401569569
809,401573786
810,402097521
811,402134687
812,402138907
813,402143127
814,404299942
815,406218027
816,406226342
817,406828494
818,406878060
819,406940004
820,407105025
821,407121573
822,407134022
823,407542534
824,408268362
825,408359131
826,408416887
827,408421145
828,408429498
829,408441947
830,410793067
831,412892365
832,412896584
833,412900845
834,412905062
835,412946406
836,413774538
837,413622686
838,416943467
839,415569316
840,415582050
841,415611031
842,415672972
843,415677194
844,415776335
845,415784689
846,416065301
847,416069633
848,418499075
849,418503294
850,418763286
851,419307589
852,420041736
853,420103672
854,420557427
855,420565780
856,420570041
857,420883448
858,421403071
859,421411426
860,421415645
861,421419859
862,421461276
863,421469631
864,421630481
865,423688899
866,423829248
867,425384327
868,425392682
869,425846405
870,426596898
871,427095889
872,427566204
873,429459513
874,429991431
875,430466052
876,432136934
877,432141194
878,432199036
879,432211480
880,432219842
881,432692728
882,435043314
883,437607372
884,436427576
885,436435929
886,436473109
887,436481464
888,436489782
889,436494042
890,436502475
891,436527333
892,438234921
893,438371056
894,440178417
895,440182747
896,440187007
897,440191224
898,440269801
899,440707199
900,441123807
901,441128104
902,441140554
903,441194225
904,441198523
905,441206879
906,441215232
907,441231826
908,441252501
909,441256762
910,441450709
911,441483756
912,441492071
913,441809763
914,443822976
915,444363249
916,444454089
917,444949103
918,444957459
919,446999514
920,447148137
921,447168880
922,447717411
923,447899011
924,449965649
925,450147306
926,450596955
927,450904873
928,450795139
929,450935397
930,450943714
931,451739307
932,453528997
933,453480455
934,453996052
935,454008502
936,454173552
937,456034338
938,456154047
939,456191346
940,456315248
941,456434886
942,456439105
943,456443319
944,456868335
945,457210680
946,457215015
947,457272860
948,457281177
949,457289528
950,457293747
951,458914969
952,459158353
953,459174969
954,459203996
955,460478507
956,460482723
957,460565293
958,460569588
959,460577902
960,460598618
961,461118322
962,461617376
963,462137261
964,462141590
965,463890945
966,465941130
967,466374418
968,466432217
969,466440529
970,466923260
971,466964609
972,466977059
973,467336108
974,467340443
975,467781872
976,467790192
977,469340945
978,471379042
979,471391487
980,471403936
981,471878451
982,471894998
983,473768316
984,473797255
985,473805571
986,473826253
987,474490545
988,474779559
989,476764180
990,476776628
991,477226397
992,477849458
993,477861909
994,477866244
995,477870501
996,477874721
997,477878938
998,477945083
999,477953440
1000,479806063
1001,480012584
1002,480016847
1003,480025198
1004,481448955
1005,482014038
1006,482022394
1007,482076142
1008,482088553
1009,482113398
1010,486184348
1011,485270386
1012,485736443
1013,486092081
1014,486190319
1015,488615177
1016,487650863
1017,487741606
1018,487811766
1019,487816023
1020,487824373
1021,487828590
1022,487832813
1023,487886562
1024,487894992
1025,488060059
1026,489487923
1027,489842606
1028,489846826
1029,489851081
1030,489855303
1031,490391448
1032,492339285
1033,492830541
1034,492838894
1035,492843112
1036,493268162
1037,493709618
1038,493771592
1039,494299447
1040,494353157
1041,494369782
1042,494374039
1043,494382395
1044,496403970
1045,496915501
1046,496923859
1047,496936307
1048,496940561
1049,496948914
1050,497456498
1051,497831996
1052,498368401
1053,498814189
1054,498917317
1055,498932333
1056,499473094
1057,499481445
1058,499979777
1059,501985847
1060,501990066
1061,501994287
1062,502188243
1063,502534858
1064,502567969
1065,502580419
1066,502898390
1067,502902613
1068,502915066
1069,502939919
1070,503418624
1071,503426979
1072,503980167
1073,504025636
1074,504508404
1075,504978852
1076,504991300
1077,504995560
1078,505094800
1079,505099055
1080,505103361
1081,505107580
1082,505120030
1083,505128379
1084,505578031
1085,505582251
1086,505594740
1087,506065258
1088,506069479
1089,506073696
1090,506106775
1091,506119222
1092,507608843
1093,507613064
1094,508990393
1095,512538535
1096,511298908
1097,511307267
1098,511311483
1099,511356992
1100,511827435
1101,511835790
1102,512277184
1103,512322705
1104,512343422
1105,512347643
1106,512355994
1107,512793310
1108,513222477
1109,514980992
1110,514989343
1111,514993599
1112,515006080
1113,515010381
1114,515018736
1115,516520861
1116,516525079
1117,516533432
1118,516549977
1119,517948869
1120,517953127
1121,518064599
1122,518489830
1123,518824072
1124,518972587
1125,520656265
1126,521951798
1127,521960154
1128,521964371
1129,523256157
1130,523808988
1131,525757175
1132,526392616
1133,526400974
1134,526871388
1135,526929163
1136,526970535
1137,528752609
1138,528964130
1139,529017863
1140,529042682
1141,529096397
1142,529484495
1143,529488714
1144,529905976
1145,529914332
1146,530063091
1147,532027254
1148,532452308
1149,532501957
1150,533042406
1151,533516852
1152,533991539
1153,534466046
1154,534470309
1155,534474572
1156,536587837
1157,537078935
1158,537083192
1159,537099812
1160,537115663
1161,537553154
1162,539525771
1163,539550586
1164,539554806
1165,541721785
1166,542163190
1167,542241591
1168,542683014
1169,544585742
1170,544589959
1171,544598309
1172,544606627
1173,544610884
1174,545027759
1175,545069145
1176,545110562
1177,545626542
1178,547508481
1179,548961238
1180,549010884
1181,549419582
1182,549427898
1183,549432121
1184,549473506
1185,549494255
1186,549539745
1187,551376335
1188,551356552
1189,551377262
1190,551381477
1191,551389825
1192,551394130
1193,551839940
1194,551889518
1195,551947329
1196,551968040
1197,552628529
1198,553049562
1199,554779511
1200,554783729
1201,555254105
1202,555683333
1203,555695781
1204,555745386
1205,556170470
1206,556174808
1207,556637263
1208,557087302
1209,557091565
1210,557128751
1211,557165958
1212,557487948
1213,557496300
1214,558003945
1215,558020563
1216,558094865
1217,558115617
1218,558128103
1219,560055669
1220,561867854
1221,561872114
1222,561880463
1223,561884681
1224,562309786
1225,562326365
1226,562338810
1227,562343028
1228,564143534
1229,563610533
1230,564303658
1231,564307876
1232,564320325
1233,564324584
1234,565591462
1235,565657653
1236,565678368
1237,566186282
1238,566190499
1239,566199209
1240,566203467
1241,566207689
1242,566211912
1243,566216126
1244,566220345
