file,storage consumption
1,113314
2,340260
3,343225
4,2164169
5,2168562
6,2260036
7,2641594
8,2642712
9,2669426
10,2684567
11,3016868
12,3022566
13,3430656
14,3435276
15,3557409
16,5097242
17,5474778
18,6020839
19,6027383
20,7261009
21,8978217
22,9350265
23,9978663
24,9985804
25,10382807
26,10752047
27,10757655
28,11104353
29,11109443
30,11116293
31,11159254
32,12257413
33,12262806
34,12640704
35,12646526
36,13016377
37,13390293
38,13695340
39,16143197
40,16147467
41,16151399
42,16185884
43,16351410
44,16357428
45,16361786
46,16364040
47,17873346
48,18267877
49,18304094
50,18660279
51,18897432
52,19003094
53,20077991
54,20446122
55,20488302
56,20493389
57,20499631
58,20504277
59,20596157
60,20598454
61,20823970
62,21126864
63,22370541
64,22848286
65,22853490
66,22854608
67,22869940
68,22874607
69,22886956
70,23242518
71,23244790
72,23547646
73,23911899
74,23921637
75,23924282
76,23933883
77,23940569
78,23950363
79,23961010
80,24324693
81,24357084
82,24364378
83,24504859
84,24509390
85,24515583
86,24529370
87,24531817
88,24924882
89,26478406
90,26483493
91,26523432
92,26596728
93,27968331
94,28304513
95,29851746
96,29895711
97,29908942
98,30244490
99,30632613
100,30636144
101,32176298
102,32232559
103,32619758
104,32645453
105,32667666
106,32706304
107,33076482
108,33479390
109,33485166
110,33489627
111,33858304
112,34246540
113,34649718
114,36146403
115,36154347
116,36158614
117,36163960
118,36173793
119,36177966
120,36184565
121,37685826
122,38094073
123,38099957
124,38144512
125,38485569
126,38486133
127,38523677
128,38527134
129,38917071
130,38921005
131,38926843
132,39291578
133,39297949
134,39306404
135,39312113
136,40851214
137,40857165
138,40997178
139,41037535
140,41568813
141,41709280
142,41712250
143,41735875
144,41790707
145,42247723
146,42248702
147,42628935
148,42638904
149,42652532
150,43736651
151,43789162
152,43790165
153,43827462
154,43831488
155,44168611
156,44526142
157,44527049
158,44530563
159,45364269
160,45365298
161,45400748
162,45405162
163,45409830
164,45423711
165,45439915
166,45444182
167,45455095
168,45558916
169,45566057
170,45568224
171,45939743
172,45941919
173,46326693
174,46336526
175,46385078
176,46810366
177,46820569
178,46863225
179,46868004
180,46904974
181,46905162
182,46916120
183,46917619
184,46927809
185,46971119
186,46976206
187,46982792
188,47375348
189,47909661
190,48415397
191,48751681
192,48753214
193,48758941
194,48768774
195,48774967
196,48854179
197,50394412
198,50399085
199,50403442
200,50465473
201,51774860
202,51782152
203,51786300
204,53251043
205,53257485
206,53630992
207,55140906
208,55529506
209,55540513
210,55564176
211,57097770
212,57444168
213,57479024
214,57910741
215,58279141
216,58452504
217,58459088
218,58465554
219,58846014
220,58849914
221,59912217
222,60295983
223,60410268
224,60491705
225,60880696
226,62716163
227,62771986
228,63964826
229,64299351
230,64372478
231,64421833
232,65550500
233,65885319
234,65900282
235,66283766
236,66284688
237,66295051
238,67810936
239,67855038
240,67892242
241,68128185
242,68510500
243,68896193
244,69233460
245,69585722
246,69604886
247,69610623
248,69624496
249,69624606
250,69662103
251,69670047
252,69674345
253,69681732
254,69686573
255,69727608
256,70140438
257,70520911
258,70525808
259,70540231
260,70547111
261,70553124
262,71969935
263,72347962
264,72820585
265,74323307
266,74327528
267,74731515
268,75032380
269,75038246
270,75149417
271,75164551
272,75170798
273,75175209
274,75176361
275,75217416
276,75230855
277,75241045
278,75501941
279,75506506
280,75883620
281,76178382
282,76185566
283,77725303
284,77728716
285,77734958
286,77738990
287,79284960
288,79288894
289,79692357
290,79698984
291,81473273
292,81970613
293,81970723
294,81976417
295,82561333
296,82577897
297,82579313
298,82615487
299,82619668
300,83736635
301,83782204
302,85307274
303,85348391
304,85548470
305,85554998
306,85889190
307,86971008
308,86979614
309,87397838
310,88670128
311,88676370
312,88678117
313,88763270
314,88768761
315,90296771
316,90437938
317,92068700
318,92073111
319,92109771
320,92114382
321,92120481
322,92230147
323,92231265
324,93352976
325,94729833
326,96174592
327,96539048
328,96560616
329,96565573
330,97085728
331,97229690
332,97239523
333,97245963
334,97288787
335,98840122
336,98852873
337,99188339
338,99195978
339,99529722
340,100771464
341,100811829
