file,storage consumption
1,51910868
2,103817640
3,149434904
4,201341676
5,253248448
6,305157552
7,357064324
8,408971096
9,460877868
10,506495132
11,552110352
12,597727616
13,649634388
14,701541160
15,747158424
16,799065196
17,850971968
18,902878740
19,954785512
20,1006692284
21,1052307504
22,1104214276
23,1156123380
24,1208030152
25,1259936924
26,1305552144
27,1357458916
28,1403074136
29,1454983240
30,1506890012
31,1558796784
32,1610703556
33,1662610328
34,1714517100
35,1766423872
36,1818330644
37,1870239748
38,1915854968
39,1967761740
40,2019668512
41,2071577616
42,2123484388
43,2169099608
44,2221008712
45,2272915484
46,2318530704
47,2370437476
48,2422344248
49,2467959468
50,2519866240
51,2565481460
52,2617390564
53,2669297336
54,2721204108
55,2773110880
56,2825017652
57,2870632872
58,2922539644
59,2974446416
60,3026353188
61,3078259960
62,3130166732
63,3182073504
64,3227690768
65,3279597540
66,3331504312
67,3383413416
68,3435320188
69,3487226960
