file,storage consumption
1,1414531466
2,1464086751
3,1498670253
4,1548196399
5,1589412636
6,1655049052
7,1680951140
8,1743331981
9,1769931937
10,1809519221
11,1831318042
12,1877332484
13,1988569724
14,1985559039
15,2001627757
16,2057751393
17,2158155805
18,2244235307
19,2198247286
20,2288187434
21,2284433210
22,2330489345
23,2356926134
24,2444299316
25,2448232387
26,2541182525
27,2558015946
28,2580762766
29,2627831369
30,2673218237
31,2699657032
32,2804757238
33,2803012472
34,2844598259
35,2876339302
36,2983613452
37,2954270429
38,3030803609
39,3056926515
40,3104905446
41,3146584222
42,3167677979
43,3228244527
44,3313356043
45,3446366424
46,3356470369
47,3379448642
48,3484900910
49,3531916298
50,3530788758
51,3569455723
52,3597842079
53,3698573947
54,3684166448
55,3722716146
56,3779261997
57,3863708863
58,3855850460
59,3966301498
60,3964691777
61,4000075905
62,4032731882
63,4089059819
64,4126298239
65,4175451328
66,4217770939
67,4261771443
68,4305632732
69,4339439592
