file,storage consumption
1,17119403
2,36585773
3,70237289
4,115200199
5,151345120
6,185595591
7,192116407
8,237747663
9,242546137
10,275236785
11,316716071
12,329776934
13,354193938
14,377313745
15,401513833
16,423249503
17,453962301
18,467339554
19,489180536
20,510703056
21,531666401
22,551594398
23,572918724
24,591981709
25,611958738
26,631543942
27,649812325
28,669985367
29,689015121
30,707592819
31,723357168
32,742564473
33,759319731
34,777648762
35,794745332
36,815057910
37,832706884
38,840926767
39,867916096
40,885352112
41,902572692
42,917474847
43,936768018
44,942864252
45,964121358
46,985254032
47,1005684106
48,1022876919
49,1029996729
50,1052374019
51,1095238093
52,1080875739
53,1124596941
54,1124425605
55,1130143124
56,1151546014
57,1190835836
58,1185995471
59,1203095051
60,1217314200
61,1233030489
62,1268144309
63,1278723831
64,1283930512
65,1299826675
66,1319063027
67,1337017480
68,1355904933
69,1369749251
