file,storage consumption
1,17106981
2,36573352
3,56039723
4,75506094
5,94972465
6,114440416
7,131547395
8,148654374
9,165762741
10,185229112
11,204695483
12,224161854
13,243628225
14,263094596
15,282562547
16,302028918
17,321495289
18,338602268
19,358068639
20,377535010
21,397001381
22,416469332
23,435935703
24,455402074
25,474870025
26,494336396
27,513802767
28,533270718
29,552737089
30,572203460
31,589310439
32,608776810
33,625885177
34,642993544
35,660101911
36,679568282
37,699034653
38,718501024
39,737967395
40,757433766
41,776900137
42,794007116
43,813473487
44,832939858
45,852407809
46,871874180
47,891340551
48,910806922
49,930273293
50,949739664
51,969206035
52,988672406
53,1008140357
54,1027606728
55,1044713707
56,1064180078
57,1083646449
58,1100754816
59,1120221187
60,1139687558
61,1159153929
62,1178620300
63,1195727279
64,1212834258
65,1229941237
66,1249407608
67,1268873979
68,1288341930
69,1307808301
