file,storage consumption
1,17119403
2,36585773
3,75892509
4,119332009
5,152675960
6,166808939
7,208832949
8,217611154
9,245019361
10,274999293
11,317223801
12,328757388
13,354709858
14,376355605
15,400265005
16,424997877
17,453180253
18,466197206
19,489102738
20,509949684
21,531756477
22,552630290
23,577373382
24,591236519
25,611279056
26,631273726
27,650201287
28,670468491
29,689072439
30,707298025
31,723291660
32,742474401
33,759250131
34,777452234
35,794745332
36,814394658
37,832158266
38,849938017
39,867424792
40,884647916
41,902806056
42,918682621
43,936849900
44,954532506
45,971768065
46,988693866
47,1005299264
48,1022966989
49,1039531875
50,1057082528
51,1068074398
52,1090590949
53,1107345417
54,1123971163
55,1138388578
56,1152244811
57,1181831689
58,1217748129
59,1206145109
60,1223508476
61,1240010825
62,1256761275
63,1270319804
64,1285746301
65,1295769503
66,1335267969
67,1324608450
68,1360984774
69,1360206077
