file,origin size,mfs size
1,438525916,645500669
2,817569354,1060210926
3,1515548394,1774962551
4,1923519998,2188084716
5,2320956047,2590149393
6,2759573399,3033652190
7,4337556305,4627141879
8,4782453351,5075963248
9,5206073693,5503245749
10,5531723676,5831632370
11,5950158070,6253534143
12,6372010904,6678772960
13,6785152308,7095170361
14,7208356645,7521712754
15,7634660717,7951311479
16,7685531727,8002584904
17,8105813519,8426006633
18,8429965131,8752580766
19,8778345463,9103527879
20,9089478579,9416991844
21,9499375455,9829881409
22,14919853296,10963578118
23,15378187133,11425180735
24,15827773690,11877962228
25,15916141779,11966958105
26,16345484420,12399375146
27,16787434967,12844469503
28,17155343478,13214985640
29,17603047918,13665927437
30,18040888294,14107012370
31,18441453208,14510687687
32,18818871371,14891287656
