file,origin size,final size
1,45615220,32623634
2,97521992,62446001
3,149431096,94896555
4,195046316,125797961
5,246953088,158264065
6,298859860,189650826
7,350766632,213731069
8,402673404,243179710
9,454580176,274113795
10,506486948,303902372
11,552102168,333771757
12,597717388,364419606
13,649624160,392894215
14,695239380,423697126
15,747146152,455247167
16,799052924,487221730
17,850959696,517988814
18,902866468,548609880
19,954773240,580984783
20,1006682344,614803766
21,1058589116,647892697
22,1104204336,677308104
23,1156111108,707271047
24,1201726328,739262394
25,1253633100,772177503
26,1305539872,805945216
27,1357446644,835976493
28,1403061864,867990721
29,1454968636,900813544
30,1506875408,931447501
31,1558782180,963026391
32,1610691284,997445213
33,1656308548,1029791606
34,1701925812,1061955626
35,1753832584,1093197748
36,1805741688,1126043276
37,1857648460,1157105604
38,1909555232,1190371303
39,1961462004,1219983500
40,2007079268,1252730266
41,2058986040,1284292672
42,2110892812,1312395611
43,2162799584,1345459188
44,2214706356,1379026380
45,2266613128,1405586341
46,2318519900,1435843241
47,2370429004,1465667829
48,2422335776,1498183676
49,2474242548,1528406927
50,2519857768,1559762952
51,2571764540,1585034476
52,2623671312,1615099128
53,2675578084,1647350600
54,2727487188,1679505948
55,2779393960,1711568675
56,2831300732,1743972317
57,2883207504,1776661062
58,2928822724,1808766899
59,2980729496,1838903091
60,3032636268,1871800718
61,3084545372,1905061237
62,3136452144,1935157164
63,3182069408,1967403255
64,3233976180,1998626038
65,3285882952,2027112976
66,3337789724,2057476862
67,3389696496,2086752964
68,3435313760,2118872147
69,3487222864,2149702985
