file,origin size,final size
1,19466370,10239394
2,38932740,18973597
3,58399110,28550658
4,77865480,40292753
5,97331850,51193080
6,116799800,62513542
7,136266170,73009041
8,153374536,83593329
9,172840906,92600688
10,192307276,102868259
11,211775226,114110167
12,231241596,124499428
13,248348574,134514009
14,267816524,146475000
15,287282894,157205774
16,306749264,168505503
17,326217214,180503429
18,345683584,189671643
19,365149954,199045501
20,384616324,209363053
21,404082694,218569459
22,421189672,227833351
23,440656042,238634062
24,457764408,250232044
25,477230778,261152191
26,496697148,269953793
27,516163518,279656331
28,535629888,289160122
29,555096258,298293065
30,574562628,307885505
31,591669606,317737879
32,611135976,328520886
33,628242954,338413456
34,647709324,347744382
35,667175694,356722461
36,686642064,367504865
37,706110014,378359590
38,725576384,387063834
39,745042754,395960195
40,764510704,407048268
41,783977074,415597741
42,803443444,425294652
43,822909814,435846010
44,842376184,447445806
45,861842554,456103889
46,881308924,464832012
47,900775294,475254789
48,920241664,484501846
49,937348642,495504423
50,956815012,504845143
51,976281382,513422799
52,995747752,522831398
53,1015215702,534540988
54,1034682072,545328853
55,1051789050,554919110
56,1071255420,564091745
57,1090721790,572551185
58,1107828768,583172999
59,1127295138,593956183
60,1144403504,605495405
61,1161510482,614488678
62,1180976852,623885016
63,1198083830,633269433
64,1217550200,641848885
65,1234658566,653307545
66,1254124936,664559905
67,1271233302,675589631
68,1290701252,686872569
69,1307808230,698340052
