file,origin size,dest size
1,379043438,0
2,779608352,0
3,1205912424,0
4,1554292756,0
5,1967434160,0
6,2396776801,0
7,2815211195,0
8,3273545032,0
9,3681516636,0
10,4049425147,210872753
11,4747404187,0
12,5189354734,0
13,5566772897,0
14,10987250738,0
15,11436837295,0
16,13014820201,0
17,13340470184,0
18,13764090526,0
19,13814961536,0
20,14139113148,844653566
21,14586817588,0
22,14996714464,0
23,15394150513,0
24,15817354850,0
25,16128487966,0
26,16566328342,0
27,17004945694,0
28,17425227486,0
29,17513595575,0
30,17935448409,1039773888
31,18380345455,0
32,18818871371,1086009407
