file,origin size,dest size
1,438525916,390483968
2,817569354,759840768
3,1515548394,1533378560
4,1923519998,1867345920
5,2320956047,2275577856
6,2759573399,2689826816
7,4337556305,4313362432
8,4782453351,4757512192
9,5206073693,5188653056
10,5531723676,5537095680
11,5950158070,5985050624
12,6372010904,6396895232
13,6785152308,6805118976
14,7208356645,7206002688
15,7634660717,7625515008
16,7685531727,7668768768
17,8105813519,8058380288
18,8429965131,8432406528
19,8778345463,8813932544
20,9089478579,9055113216
21,9499375455,9461354496
22,14919853296,14952452096
23,15378187133,15377797120
24,15827773690,15817478144
25,15916141779,15938686976
26,16345484420,16347176960
27,16787434967,16772403200
28,17155343478,17158127616
29,17603047918,17569038336
30,18040888294,18011074560
31,18441453208,18518441984
32,18818871371,18798219264
