file,origin size,dest size
1,19466370,601354240
2,38932740,601354240
3,58399110,601354240
4,77865480,233148416
5,97331850,246206464
6,116799800,255774720
7,136266170,269144064
8,153374536,281071616
9,172840906,281145344
10,192307276,281157632
11,211775226,290201600
12,231241596,306061312
13,248348574,324673536
14,267816524,330440704
15,287282894,339353600
16,306749264,348528640
17,326217214,357179392
18,345683584,364388352
19,365149954,372383744
20,384616324,384180224
21,404082694,396238848
22,421189672,404627456
23,440656042,413802496
24,457764408,422191104
25,477230778,436600832
26,496697148,447086592
27,516163518,494010368
28,535629888,505020416
29,555096258,512360448
30,574562628,518389760
31,591669606,523632640
32,611135976,539099136
33,628242954,545914880
34,647709324,555352064
35,667175694,696406016
36,686642064,713052160
37,706110014,733761536
38,725576384,746082304
39,745042754,754995200
40,764510704,763908096
41,783977074,774131712
42,803443444,781996032
43,822909814,796938240
44,842376184,802181120
45,861842554,813977600
46,881308924,826560512
47,900775294,883474432
48,920241664,903397376
49,937348642,935116800
50,956815012,943898624
51,976281382,962379776
52,995747752,974962688
53,1015215702,983089152
54,1034682072,1005895680
55,1051789050,1012449280
56,1071255420,1022410752
57,1090721790,1036566528
58,1107828768,1049149440
59,1127295138,1121193984
60,1144403504,1141641216
61,1161510482,1145704448
62,1180976852,1183584256
63,1198083830,1189613568
64,1217550200,1198526464
65,1234658566,1206390784
66,1254124936,1216090112
67,1271233302,1220546560
68,1290701252,1232080896
69,1307808230,1239158784
