file,EXT4,ZFS,MFS
0,0,0,0
10,5368709120,5615575040,8600195592
20,10737418240,10516033536,8599594891
30,16106127360,15910903808,15627089068
40,20807942144,20469968896,15170018412
50,26065502208,25912639488,18289578837
60,31083986944,30964350976,25338074606
70,36098277376,35874328576,28142127186
80,40827355136,40782581760,26823811540
90,45412777984,45266374656,29293966351
100,50434408448,50548461568,31912739694
110,55803117568,55700787200,34601867958
120,60779659264,60572540928,41802996163
130,65891467264,65769054208,42051985701
140,70928826368,71122599936,45192699446
150,76067897344,75925024768,47481497307
160,81254154240,81104015360,49978043550
170,86132129792,86055116800,52168598690
180,90999619584,91009626112,55128362951
190,96213139456,96226799616,58355511354
200,101581848576,101571723264,61232258154
210,106944266240,107049033728,63635151786
220,112186097664,112350777344,65948298338
230,117554806784,117644759040,68916271521
240,122923515904,123139743744,70868484794
250,127809880064,127988785152,73373656650
260,132893376512,133309210624,75477264400
270,137393864704,137585774592,77764571910
280,142762573824,143066370048,79560529009
290,148131282944,148366942208,82372677019
300,153074270208,153412988928,84962293623
310,158442979328,158668341248,88248185600
320,163470901248,163707060224,90526122293
330,168313225216,168588636160,92096470781
340,173589659648,173947977728,94744885846
350,178958368768,179264212992,96817911244
360,183823761408,184247070720,99710166296
370,188212051968,188792786944,101627812966
380,192972587008,192918728704,103674534900
390,198341296128,198729244672,106478544133
400,203710005248,204148641792,108709719790
410,209078714368,209581355008,110524843942
420,214164307968,214612602880,112939522316
430,219366293504,219809513472,114629049807
440,223966396416,224659439616,116068627785
450,229335105536,229806116864,118612819164
460,234703814656,235476340736,120879273758
470,240072523776,240661106688,123723164542
480,245441232896,245939486720,125646041867
490,250115784704,250722836480,127546543746
500,255484493824,256070705152,129798527299
510,259706060800,260323139584,131133953168
520,264718254080,265382187008,133985374526
530,269409583104,270140649472,136808308496
540,273948868608,274683469824,138411056616
550,279317577728,280276176896,139790314178
560,283718451200,284383629312,141580062777
570,288367837184,289359425536,142642160103
580,293225889792,293608628224,144055936013
590,298293657600,298896764928,146124616642
600,303486205952,304092815360,148379745167
610,308854915072,309686218752,150029692847
620,314223624192,315331330048,151396571715
630,319189680128,320023048192,152330518549
640,324021518336,324925538304,154910137199
650,328866988032,329785106432,156079742706
660,334118256640,334725828608,158353597738
670,339486965760,340280320000,160561897848
680,344855674880,345396088832,162342344069
690,349764059136,350360363008,163302197204
700,355132768256,355749908480,165213798629
710,360461631488,360911028224,166888130480
720,365229506560,365875929088,168299018647
730,370598215680,371595464704,169342349072
740,375966924800,377117417472,171057797998
750,381009526784,381972238336,172045094597
760,386171666432,387359285248,173326864840
770,390716194816,391804239872,175195420998
780,395627724800,396649562112,177512435254
790,400858021888,401713602560,179046088969
800,406179545088,407126478848,181025491800
810,411548254208,412647542784,182592206981
820,416916963328,418039832576,183975544918
830,422285672448,423259402240,186382424818
840,427556864000,428674469888,188361913888
850,432539697152,433675558912,189470596348
860,437180694528,438234189824,190868749308
870,442291453952,443436920832,192601682839
880,447660163072,449001144320,194732141464
890,453028872192,454208360448,196180452186
900,457897410560,459041431552,197411162770
910,463266119680,464449908736,199025825142
920,468116832256,468939227136,201072474537
930,473485541376,474342027264,202770232516
940,478213570560,479624531968,204028376039
950,483234152448,484430725120,205756272182
960,487885635584,489173213184,207229322971
970,492792971264,494157643776,209251378379
980,497689821184,499016974336,210768577803
990,502447210496,503830888448,211417725685
1000,507781316608,509133221888,212304251202
1010,513150025728,514377363456,214258117932
1020,518518734848,519853740032,215711437541
1030,523344281600,524768444416,216560806524
1040,528712990720,530093568000,217418395814
1050,534081699840,535703527424,218521011997
1060,539432583168,540823449600,219915112850
1070,544801292288,546205999104,221194576582
1080,549641519104,550838837248,222954185372
1090,554818338816,556103958528,224004754901
1100,560187047936,561053331456,225084445720
1110,565145763840,566504665088,225961549832
1120,570514472960,571795951616,227042206148
1130,575735332864,577116065792,228200544286
1140,580846092288,581690208256,229541268754
1150,586214801408,587665297408,231571165044
1160,591447195648,593040732160,232514131638
1170,596337754112,597919383552,233314807388
1180,601237749760,602645688320,234281448159
1190,606606458880,608253480960,234937459485
1200,611975168000,613845065728,235951983970
1210,617121579008,618409689088,237852488969
1220,622183055360,623280533504,238442421480
1230,627551764480,628699119616,239449436503
1240,632920473600,634205884416,241041561938
1250,638289182720,639522537472,242941653703
1260,642473000960,644002066432,243639571582
1270,647482048512,649412796416,245018256794
1280,652850757632,654883115008,245793810662
1290,658219466752,659648000000,247394050388
1300,662662283264,663723753472,249029092170
1310,668030992384,670113517568,250470067772
1320,672961396736,674864500736,251535029394
1330,677854052352,679725707264,252283482736
1340,682857857024,684772818944,252987622707
1350,686938914816,688536424448,254837111012
1360,692307623936,693961801728,255735123951
1370,697646972928,699558273024,256941916926
1380,701739565056,703702585344,257389367755
1390,705530167296,707625320448,258579575620
1400,710424920064,712468078592,259948644618
1410,715294507008,717359329280,261073587362
1420,719634563072,721575694336,262428029050
