file,origin size,dest size
1,536870912,0
2,1073741824,0
3,1610612736,0
4,2147483648,0
5,2684354560,0
6,3221225472,0
7,3758096384,0
8,4294967296,0
9,4831838208,0
10,5368709120,5615575040
11,5905580032,0
12,6442450944,0
13,6979321856,0
14,7516192768,0
15,8053063680,0
16,8589934592,0
17,9126805504,0
18,9663676416,0
19,10200547328,0
20,10737418240,10516033536
21,11274289152,0
22,11811160064,0
23,12348030976,0
24,12884901888,0
25,13421772800,0
26,13958643712,0
27,14495514624,0
28,15032385536,0
29,15569256448,0
30,16106127360,15910903808
31,16642998272,0
32,17179869184,0
33,17716740096,0
34,18060673024,0
35,18123587584,0
36,18660458496,0
37,19197329408,0
38,19734200320,0
39,20271071232,0
40,20807942144,20469968896
41,21344813056,0
42,21881683968,0
43,22307405824,0
44,22844276736,0
45,23381147648,0
46,23918018560,0
47,24454889472,0
48,24991760384,0
49,25528631296,0
50,26065502208,25912639488
51,26602373120,0
52,27139244032,0
53,27676114944,0
54,27862761472,0
55,28399632384,0
56,28936503296,0
57,29473374208,0
58,30010245120,0
59,30547116032,0
60,31083986944,30964350976
61,31620857856,0
62,32157728768,0
63,32694599680,0
64,33231470592,0
65,33768341504,0
66,34305212416,0
67,34842083328,0
68,35024535552,0
69,35561406464,0
70,36098277376,35874328576
71,36238786560,0
72,36775657472,0
73,37312528384,0
74,37849399296,0
75,38386270208,0
76,38923141120,0
77,39460012032,0
78,39753613312,0
79,40290484224,0
80,40827355136,40782581760
81,41364226048,0
82,41901096960,0
83,42437967872,0
84,42628808704,0
85,43165679616,0
86,43702550528,0
87,44239421440,0
88,44339036160,0
89,44875907072,0
90,45412777984,45266374656
91,45949648896,0
92,46486519808,0
93,47023390720,0
94,47560261632,0
95,47750053888,0
96,48286924800,0
97,48823795712,0
98,49360666624,0
99,49897537536,0
100,50434408448,50548461568
101,50971279360,0
102,51508150272,0
103,52045021184,0
104,52581892096,0
105,53118763008,0
106,53655633920,0
107,54192504832,0
108,54729375744,0
109,55266246656,0
110,55803117568,55700787200
111,56339988480,0
112,56876859392,0
113,57021562880,0
114,57558433792,0
115,58095304704,0
116,58632175616,0
117,59169046528,0
118,59705917440,0
119,60242788352,0
120,60779659264,60572540928
121,61316530176,0
122,61853401088,0
123,62390272000,0
124,62927142912,0
125,63464013824,0
126,64000884736,0
127,64280854528,0
128,64817725440,0
129,65354596352,0
130,65891467264,65769054208
131,66428338176,0
132,66633859072,0
133,67170729984,0
134,67707600896,0
135,68244471808,0
136,68781342720,0
137,69318213632,0
138,69855084544,0
139,70391955456,0
140,70928826368,71122599936
141,71465697280,0
142,72002568192,0
143,72539439104,0
144,73076310016,0
145,73613180928,0
146,74150051840,0
147,74457284608,0
148,74994155520,0
149,75531026432,0
150,76067897344,75925024768
151,76604768256,0
152,77141639168,0
153,77496057856,0
154,78032928768,0
155,78569799680,0
156,79106670592,0
157,79643541504,0
158,80180412416,0
159,80717283328,0
160,81254154240,81104015360
161,81791025152,0
162,82327896064,0
163,82864766976,0
164,83401637888,0
165,83938508800,0
166,84475379712,0
167,85012250624,0
168,85058387968,0
169,85595258880,0
170,86132129792,86055116800
171,86669000704,0
172,87205871616,0
173,87742742528,0
174,87778394112,0
175,88315265024,0
176,88852135936,0
177,89389006848,0
178,89925877760,0
179,90462748672,0
180,90999619584,91009626112
181,91381301248,0
182,91918172160,0
183,92455043072,0
184,92991913984,0
185,93528784896,0
186,94065655808,0
