file,storage consumption
1,704223770
2,737020921
3,770059688
4,803761749
5,832714897
6,864085715
7,895683530
8,929722765
9,959917061
10,991807066
11,1017463866
12,1051447080
13,1083871677
14,1113805482
15,1146749241
16,1180401549
17,1210144984
18,1241439289
19,1272511727
20,1303963116
21,1335451542
22,1367458815
23,1400768522
24,1425121187
25,1457280742
26,1487964182
27,1520369410
28,1553443518
29,1583683292
30,1616542689
31,1649696812
32,1681313706
33,1712196995
34,1744988378
35,1775562476
36,1806733478
37,1836562576
38,1870311503
39,1901642639
40,1932294788
41,1961219883
42,1994482659
43,2025053618
44,2057167461
45,2088677667
46,2119147551
47,2149324527
48,2180166368
49,2210430241
50,2242387398
51,2272079672
52,2305172585
53,2334583869
54,2361457784
55,2393492320
56,2425233280
57,2457828543
58,2490214559
59,2521239478
60,2552716025
61,2585084563
62,2616803150
63,2649774025
64,2682874469
65,2711659517
66,2741716075
67,2774164940
68,2808251762
69,2841306928
