file,storage consumption
1,11874092
2,19619589
3,30654764
4,40526674
5,48170965
6,57061173
7,68161929
8,78814777
9,87200531
10,95119981
11,105318296
12,115414804
13,124586322
14,135522732
15,143952089
16,152461624
17,162052579
18,172540702
19,182011754
20,193554302
21,205141453
22,215349720
23,224707822
24,235648858
25,243134030
26,250845198
27,260034007
28,271022946
29,281106805
30,289439482
31,300064937
32,311971919
33,324276420
34,336069198
35,346902906
36,356284186
37,364983256
38,375972823
39,384712342
40,395843709
41,406619184
42,414825056
43,422918332
44,430969279
45,441735404
46,452768219
47,460371428
48,472414162
49,481903708
50,493050286
51,503321265
52,514427443
53,524972830
54,534685729
55,542577584
56,554371859
57,563046511
58,572215711
59,582628832
60,594573746
61,602230420
62,610506544
63,619751837
64,628990790
65,636205848
66,645813226
67,654669389
68,665840109
69,673947837
