file,total,index,temp
1,125736,4096,117407
2,352681,4096,344352
3,355645,4096,347316
4,2400294,339912,2054948
5,2404686,339912,2059340
6,3086097,1244970,1832395
7,3467654,1621720,1832395
8,4045445,2334282,1829431
9,7932041,6318814,4096
10,6391433,6355670,4096
11,6973527,7039538,4096
12,7095199,7055918,4096
13,8125726,7879014,4096
14,7938839,7895394,4096
15,8298481,8141094,4096
16,9905837,10925690,4096
17,12305072,11961724,4096
18,13247235,13046896,4096
19,13132595,13063276,4096
20,15926410,15507984,4096
21,17839114,18857682,4096
22,20020506,19619346,4096
23,21463974,20864222,4096
24,20989289,20880602,4096
25,21967777,21658648,4096
26,22742484,22387554,4096
27,22520412,22403934,4096
28,23469073,23095988,4096
29,23232489,23112368,4096
30,23244937,23124652,4096
31,23331440,23210646,4096
32,25305924,25389180,4096
33,25537445,25405560,4096
34,26656534,26154942,4096
35,26307182,26171322,4096
36,27397748,26900228,4096
37,28093439,27637324,4096
38,28683466,28235190,4096
39,31214257,32956692,4096
40,33180846,33009926,4096
41,33189166,33018116,4096
42,33251027,33079538,4096
43,33735960,33407136,4096
44,33596859,33423516,4096
45,33613407,33439896,4096
46,33621725,33448086,4096
47,36453706,36367796,4096
48,37712660,37141746,4096
49,37404372,37211360,4096
50,38419846,37903410,4096
51,38787564,38370238,4096
52,38779130,38579082,4096
53,41709044,40655228,4096
54,41905584,41367752,4096
55,41668581,41453746,4096
56,41685131,41470126,4096
57,41701674,41486506,4096
58,41718211,41502886,4096
59,41899408,41683064,4096
60,41907724,41691254,4096
61,42559117,42141702,4096
62,43228491,42735474,4096
63,45793923,45122834,4096
64,46698760,46052392,4096
65,46307860,46068772,4096
66,46316177,46076962,4096
67,46345089,46105626,4096
68,46361640,46122006,4096
69,46390543,46150670,4096
70,47389010,46822240,4096
71,47073929,46830430,4096
72,47929600,47399626,4096
73,48690136,48091672,4096
74,48366545,48116242,4096
75,48374860,48124432,4096
76,48399632,48149002,4096
77,48416183,48165382,4096
78,48440958,48189952,4096
79,48469830,48218618,4096
80,49488702,48906568,4096
81,49227282,48972088,4096
82,49243832,48988468,4096
83,49515562,49258734,4096
84,49532107,49275114,4096
85,49548651,49291494,4096
86,49581656,49324254,4096
87,49589972,49332444,4096
