file,total,placeholders,index,temp
1,409909301,4233,4096,409900972
2,991885953,4225509,608612910,379047534
3,1534444695,8119441,1456429546,4096
4,2183778974,12646242,1473149596,697983136
5,3375800396,19928325,2501934346,4096
6,2836312732,23241174,2542051756,311137212
7,3238038121,26413632,2814184344,397440145
8,3656564198,30502592,3365557318,413145500
9,4080528225,34757755,3636977600,418438490
10,4515606090,39070647,4423693822,429346737
11,4993345722,43499153,4884158786,449590653
12,5399055491,48141961,5125377586,423624438
13,5934763098,53404566,5439948408,4096
14,10913834911,53404566,5439948408,5420481937
15,12326409506,53404566,6944093146,4096
16,7109176589,69615622,6994989778,4096
17,7490913568,69615622,7206404086,426308168
18,7932012460,74011386,7801856116,4096
19,8362184449,78342554,8236831486,4096
20,8790050437,82904950,8705578232,4096
21,9202423218,87268532,9107040070,4096
22,9664975561,91470968,9394246556,458337933
23,10028802735,96206011,9921926420,4096
24,10460230498,99774066,10360426664,4096
25,10886583754,104300160,10742139016,4096
26,11328721585,108649649,11156648388,4096
27,11797043070,113168360,11667596028,4096
28,12230289253,117792083,12112409192,4096
29,12628114113,122385190,12438009158,4096
30,12969083382,125711132,12615254836,400569010
31,13403818215,129833454,13206301572,4096
