file,total,index,temp
1,51919197,4096,51910868
2,103825969,4096,103817640
3,149443233,4096,149434904
4,269207757,81407988,149434904
5,480032880,350793724,4096
6,404888613,359605224,51913200
7,464676423,410742090,51910868
8,540359913,477604920,51910868
9,576657066,554211262,4096
10,623176088,614799334,4096
11,674037985,667431326,4096
12,720359174,706269412,4096
13,774820009,759289564,4096
14,825253482,810507806,4096
15,870342584,857377702,4096
16,918202467,902024270,4096
17,963829130,948439256,4096
18,1013400472,994424224,4096
19,1057047339,1039238014,4096
20,1105497824,1082958614,4096
21,1137765043,1083847078,45619316
22,1241592713,1168700504,4096
23,1230237721,1168757832,51913200
24,1285286433,1255236426,4096
25,1318126348,1271526642,4096
26,1357909919,1304102918,45619316
27,1444247509,1342324828,51910868
28,1487199999,1394040668,45619316
29,1508249273,1450521842,4096
30,1553741558,1509164680,4096
31,1590349985,1551439550,4096
32,1630988976,1594926236,4096
33,1666857183,1628005956,4096
34,1712197318,1661077458,51910868
35,1795447870,1706742114,51910868
36,1808382805,1768226034,4096
37,1852189950,1811438338,4096
38,1873262120,1841402448,4096
39,1929103048,1873704230,51910868
40,2027284462,1936760196,4096
41,2026310229,1980218148,4096
42,2067399162,2022267766,4096
43,2107215594,2061586648,4096
44,2132277767,2082208178,51913200
45,2219204719,2140830308,4096
46,2236167920,2188881714,4096
47,2282604863,2231455320,4096
48,2318680191,2274462914,4096
49,2365031491,2314964946,4096
50,2411014583,2359339932,4096
51,2449296740,2400083556,4096
52,2474252336,2432581804,51913200
53,2583544836,2484575722,4096
54,2570246839,2527530050,4096
55,2626658723,2569706530,4096
56,2645633902,2607133950,4096
57,2708053654,2653576392,4096
58,2740150101,2690864606,51910868
59,2838965999,2740074578,4096
60,2836332794,2782697288,4096
61,2886393954,2824660854,4096
62,2924666917,2866657170,4096
63,2971762900,2908489776,4096
64,3008448668,2950854552,4096
65,3035707047,2992081202,4096
66,3087725382,3030225086,4096
67,3143762288,3080122852,4096
68,3187578565,3122147840,4096
69,3226269605,3165184062,4096
