file,total,index,temp
1,409909301,4096,409900972
2,1190707847,495002688,788944410
3,1471199439,1024458550,438621448
4,2183778974,1473149596,697983136
5,3269057420,2319321230,324155708
6,2836312732,2501934346,311137212
7,3282499177,3128583728,397440145
8,3656564198,3212916106,413145500
9,4082714507,3674892330,418438490
10,4552329362,4422330526,4096
11,4970009752,4476919946,449590653
12,5399055491,4971958852,423624438
13,5545535674,5439948408,4096
14,10913834911,5439948408,5420481937
15,12024124840,6917756438,4096
16,7110793721,6994989778,4096
17,7490913568,6998911872,426308168
18,7935500548,7769484856,4096
19,8375932135,8032786500,441954643
20,8790177357,8442317642,423208433
21,9285928580,9113516778,4096
22,9664975561,9125802918,458337933
23,10030456707,9903982418,4096
24,10488945850,10282075690,4096
25,10886583754,10624702622,4096
26,11328721585,11130684240,4096
27,11780859466,11386506062,447708536
28,12392943905,12112409192,4096
29,12560825119,12259797336,4096
30,12975625592,12821780762,4096
31,13347390611,13098211776,4096
