file,total,placeholders,index,temp
1,51919197,4233,4096,51910868
2,145295721,4233,72951890,51910868
3,306864100,1305170,224309390,4096
4,277525428,1305170,279219350,4096
5,342424013,1740833,350793724,4096
6,446051185,2629473,410136082,4096
7,465904791,2629473,466509022,4096
8,521848048,3071920,521226904,4096
9,582229492,3519294,572992142,4096
10,622570118,3956616,623012490,4096
11,673018507,4386701,669936998,4096
12,731270398,5229077,717659594,4096
13,780339039,5229077,765385848,4096
14,837830800,6111044,811678744,4096
15,880487908,6543367,857377702,4096
16,915831937,6543367,903232034,4096
17,964521058,6987162,907604584,51910868
18,1054859292,7441406,994583894,4096
19,1054377969,7883207,1039688362,4096
20,1117829198,8765389,1082958614,4096
21,1137343319,8765389,1124652604,4096
22,1188591312,9178352,1164942166,4096
23,1246093999,10068605,1212433166,4096
24,1294633147,10504122,1255236426,4096
25,1317733314,10504122,1298227932,4096
26,1376930783,11358403,1339446670,4096
27,1409487499,11358403,1350336856,51910868
28,1449388477,11791909,1422911722,4096
29,1509529490,12657154,1467049434,4096
30,1552873622,13090767,1509164680,4096
31,1594648701,13526474,1551439550,4096
32,1616876892,13526474,1586390218,51910868
33,1726996570,14410070,1637311664,4096
34,1726403538,14848337,1679778898,4096
35,1771548447,15307343,1724555156,4096
36,1815514575,15756528,1768226034,4096
37,1860042260,16204466,1811438338,4096
38,1882494168,16204466,1850638536,4096
39,1919437102,16605182,1893625682,4096
40,1980844435,17494279,1936760196,4096
41,2032823803,17940176,1980218148,4096
42,2074485890,18375366,2022267766,4096
43,2086262448,18375366,2061586648,4096
44,2158675931,19226281,2105249248,4096
45,2202465235,19668250,2148015300,4096
46,2240732750,20085361,2188881714,4096
47,2273311477,20085361,2231455320,4096
48,2331523093,20970639,2274467008,4096
49,2370922773,21384249,2314964946,4096
50,2415812763,21840884,2359339932,4096
51,2456076442,22255580,2400083556,4096
52,2502480540,22701554,2442919172,4096
53,2544159036,23136295,2484772234,4096
54,2589930827,23578991,2527530050,4096
55,2605603261,23578991,2569706530,4096
56,2674189620,24464302,2613017040,4096
57,2713830296,24878151,2653576392,4096
58,2756198589,25320949,2696313730,4096
59,2798121881,25772834,2740074578,4096
60,2846047872,26214630,2782697288,4096
61,2888293576,26650789,2824660854,4096
62,2934160919,27087348,2866657170,4096
63,2945655386,27087348,2908489776,4096
64,3013361470,27955111,2950854552,4096
65,3060962957,28397138,2993514102,4096
66,3085567840,28397138,3036669050,4096
67,3146886020,29289973,3080122852,4096
68,3191688949,29726593,3122147840,4096
69,3235444275,30171503,3165184062,4096
