file,total,placeholders,index,temp
1,17119403,4233,4096,17111074
2,49551967,155105,47149778,19470466
3,83367164,322068,90081026,4096
4,116813656,485130,118233368,4096
5,151775189,816313,146520580,4096
6,181742773,983871,174021462,4096
7,208855923,1140034,199360046,4096
8,218884632,1140034,223736130,4096
9,263826483,1458971,248992460,4096
10,288757439,1631129,274571982,4096
11,316355735,1802036,299414320,4096
12,337040792,1970636,323449848,4096
13,365699730,2140245,347063442,4096
14,387828583,2303663,369313384,4096
15,408695667,2474925,392193780,4096
16,433453077,2642525,414394358,4096
17,454183407,2807920,436115806,4096
18,473407560,2963614,455818332,4096
19,497381706,3129530,476573108,4096
20,517458862,3293241,496799620,4096
21,530765635,3460040,517128376,4096
22,558534384,3630264,537530748,4096
23,578155402,3793675,556933984,4096
24,597369867,3956580,576140626,4096
25,617739924,4128038,596084178,4096
26,636584058,4291389,614782950,4096
27,655179975,4454037,633379314,4096
28,674382625,4623071,652245750,4096
29,676355667,4623071,670710854,4096
30,711838589,4955318,689192330,4096
31,727402258,5106953,705847650,4096
32,746953477,5272157,723911390,4096
33,763802907,5435174,741835896,4096
34,781014188,5598186,759580178,4096
35,798671658,5759410,776919058,4096
36,817453016,5926252,794675572,4096
37,836805144,6092919,812296862,4096
38,853938011,6257234,829619272,4096
39,871555788,6420050,846786116,4096
40,883194508,6420050,863883238,4096
41,906793744,6753013,881356984,4096
42,907513811,6753013,883649724,17111074
43,941001328,7076996,915100822,4096
44,957033992,7242635,932189678,4096
45,974740377,7412822,949548704,4096
46,991514698,7576306,966240386,4096
47,1009348320,7741795,983099898,4096
48,1011049125,7741795,996278772,4096
49,1038184927,7905715,1016716498,4096
50,1058306660,8239980,1033645556,4096
51,1075840872,8406979,1050529548,4096
52,1082140807,8406979,1066705212,4096
53,1111005535,8739879,1083740652,4096
54,1127520735,8902934,1100067788,4096
55,1141082480,9059207,1115915940,4096
56,1159278375,9222807,1132157050,4096
57,1176293123,9385835,1148406374,4096
58,1190961547,9548467,1164753926,4096
59,1208503279,9712748,1181105582,4096
60,1226075436,9883959,1198177760,4096
61,1242819337,10049433,1214553928,4096
62,1258963873,10213454,1230786830,4096
63,1273337106,10369195,1246307348,4096
64,1289082949,10525723,1261913828,4096
65,1304309651,10682653,1277577632,4096
66,1319222701,10848498,1293908724,4096
67,1338958044,11012349,1310080178,4096
68,1355941779,11180091,1326476798,4096
69,1372832061,11346216,1342799702,4096
