file,total,index,temp
1,17119403,4096,17111074
2,36585773,4096,36577444
3,74225839,25380926,38936836
4,117190345,67325580,38936836
5,148122444,122025192,19470466
6,166808939,165102888,4096
7,193197433,197795834,4096
8,218090236,221299738,4096
9,248540813,248992460,4096
10,270736743,273220746,4096
11,301508509,299414320,4096
12,328757388,323449848,4096
13,354648444,347063442,4096
14,378173615,369313384,4096
15,391089093,369313384,19472046
16,410563653,369337954,38938416
17,431864427,390887532,4096
18,466500198,455818332,4096
19,488766992,476573108,4096
20,509736778,496799620,4096
21,530319335,517128376,4096
22,550943414,537530748,4096
23,560631478,554055644,4096
24,592039027,576140626,4096
25,610857352,596084178,4096
26,630233780,614782950,4096
27,648891107,633379314,4096
28,669678291,652245750,4096
29,687463405,670710854,4096
30,704751429,689192330,4096
31,722481006,705847650,4096
32,741192913,723911390,4096
33,758070999,741835896,4096
34,777173828,759580178,4096
35,790585662,771801356,17112462
36,824123816,794675572,4096
37,831445882,812296862,4096
38,850593091,829619272,4096
39,855346972,842880296,4096
40,874879288,849398190,19470466
41,897080566,867293668,4096
42,912627407,897754020,4096
43,927662690,914621808,4096
44,952989030,932189678,4096
45,970089467,949548704,4096
46,987031656,966240386,4096
47,999948250,983099898,4096
48,1013440031,999668680,4096
49,1030881061,1016335748,4096
50,1055764240,1033645556,4096
51,1062097040,1047667792,4096
52,1084417095,1066877160,4096
53,1100324103,1083740652,4096
54,1123168725,1100067788,4096
55,1136427528,1115870906,4096
56,1152650125,1131481534,4096
57,1161943447,1134416998,19470466
58,1198539537,1164000624,4096
59,1203348881,1181105582,4096
60,1221535154,1198177760,4096
61,1237230977,1214553928,4096
62,1247733911,1230786830,4096
63,1262254560,1245824252,4096
64,1284550851,1261913828,4096
65,1301431537,1277577632,4096
66,1310715323,1293908724,4096
67,1324792680,1303636160,4096
68,1349076089,1326403106,4096
69,1366011407,1342799702,4096
